label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
G,0.0,0.0,-0.06746031746031746,-0.23412698412698413,-0.2261904761904762,-0.39285714285714285,-0.36904761904761907,-0.5198412698412699,-0.43253968253968256,-0.6388888888888888,-0.43253968253968256,-0.34523809523809523,-0.7103174603174603,-0.3492063492063492,-0.873015873015873,-0.3492063492063492,-1.0,-0.34523809523809523,-0.4880952380952381,-0.1984126984126984,-0.5992063492063492,-0.1626984126984127,-0.5119047619047619,-0.14682539682539683,-0.4126984126984127,-0.14285714285714285,-0.48412698412698413,-0.051587301587301584,-0.5,-0.027777777777777776,-0.4246031746031746,-0.01984126984126984,-0.3412698412698413,-0.01984126984126984,-0.4642857142857143,0.08333333333333333,-0.45634920634920634,0.07539682539682539,-0.373015873015873,0.07936507936507936,-0.3055555555555556,0.07936507936507936
G,0.0,0.0,-0.06772908366533864,-0.23904382470119523,-0.22709163346613545,-0.3944223107569721,-0.3665338645418327,-0.5258964143426295,-0.4302788844621514,-0.649402390438247,-0.4342629482071713,-0.350597609561753,-0.7091633466135459,-0.3545816733067729,-0.8764940239043825,-0.3545816733067729,-1.0,-0.3545816733067729,-0.4900398406374502,-0.20717131474103587,-0.5976095617529881,-0.1752988047808765,-0.5139442231075697,-0.1593625498007968,-0.41434262948207173,-0.15139442231075698,-0.4900398406374502,-0.05976095617529881,-0.50199203187251,-0.0398406374501992,-0.4262948207171315,-0.03187250996015936,-0.3466135458167331,-0.027888446215139442,-0.47410358565737054,0.07569721115537849,-0.46215139442231074,0.06772908366533864,-0.3784860557768924,0.07171314741035857,-0.3107569721115538,0.07171314741035857
G,0.0,0.0,-0.06451612903225806,-0.23387096774193547,-0.22580645161290322,-0.3911290322580645,-0.36693548387096775,-0.5282258064516129,-0.4274193548387097,-0.6491935483870968,-0.4314516129032258,-0.3548387096774194,-0.7096774193548387,-0.3548387096774194,-0.875,-0.3548387096774194,-1.0,-0.3548387096774194,-0.49193548387096775,-0.21370967741935484,-0.6048387096774194,-0.1774193548387097,-0.5161290322580645,-0.16129032258064516,-0.4112903225806452,-0.1532258064516129,-0.49193548387096775,-0.06451612903225806,-0.5120967741935484,-0.04435483870967742,-0.43548387096774194,-0.03225806451612903,-0.35080645161290325,-0.028225806451612902,-0.4798387096774194,0.07258064516129033,-0.46774193548387094,0.06451612903225806,-0.3790322580645161,0.07258064516129033,-0.31048387096774194,0.07258064516129033
G,0.0,0.0,-0.06504065040650407,-0.22764227642276422,-0.22764227642276422,-0.3821138211382114,-0.3699186991869919,-0.5203252032520326,-0.43089430894308944,-0.6463414634146342,-0.43089430894308944,-0.35365853658536583,-0.7113821138211383,-0.34552845528455284,-0.8739837398373984,-0.34959349593495936,-1.0,-0.34959349593495936,-0.4878048780487805,-0.21544715447154472,-0.6138211382113821,-0.17479674796747968,-0.5203252032520326,-0.15447154471544716,-0.4105691056910569,-0.15040650406504066,-0.491869918699187,-0.06504065040650407,-0.524390243902439,-0.04065040650406504,-0.44308943089430897,-0.024390243902439025,-0.35365853658536583,-0.02032520325203252,-0.4796747967479675,0.07317073170731707,-0.47560975609756095,0.06910569105691057,-0.3821138211382114,0.07723577235772358,-0.3130081300813008,0.08130081300813008
G,0.0,0.0,-0.061224489795918366,-0.22448979591836735,-0.22448979591836735,-0.3795918367346939,-0.37142857142857144,-0.5183673469387755,-0.42857142857142855,-0.6408163265306123,-0.42857142857142855,-0.3469387755102041,-0.710204081632653,-0.34285714285714286,-0.8734693877551021,-0.34285714285714286,-1.0,-0.34285714285714286,-0.4857142857142857,-0.21224489795918366,-0.6081632653061224,-0.17142857142857143,-0.5142857142857142,-0.1510204081632653,-0.40408163265306124,-0.14285714285714285,-0.4897959183673469,-0.061224489795918366,-0.5265306122448979,-0.036734693877551024,-0.4448979591836735,-0.02040816326530612,-0.3510204081632653,-0.0163265306122449,-0.4775510204081633,0.07755102040816327,-0.4775510204081633,0.07346938775510205,-0.3836734693877551,0.08163265306122448,-0.31020408163265306,0.08571428571428572
G,0.0,0.0,-0.061224489795918366,-0.22448979591836735,-0.22040816326530613,-0.3795918367346939,-0.3673469387755102,-0.5142857142857142,-0.42448979591836733,-0.6408163265306123,-0.42857142857142855,-0.3469387755102041,-0.7061224489795919,-0.34285714285714286,-0.8734693877551021,-0.34285714285714286,-1.0,-0.34285714285714286,-0.4816326530612245,-0.20816326530612245,-0.6040816326530613,-0.17142857142857143,-0.5102040816326531,-0.1510204081632653,-0.4,-0.14285714285714285,-0.4816326530612245,-0.061224489795918366,-0.5224489795918368,-0.036734693877551024,-0.44081632653061226,-0.02040816326530612,-0.3469387755102041,-0.0163265306122449,-0.46938775510204084,0.07755102040816327,-0.47346938775510206,0.06938775510204082,-0.3795918367346939,0.08163265306122448,-0.30612244897959184,0.08571428571428572
G,0.0,0.0,-0.061224489795918366,-0.22857142857142856,-0.22448979591836735,-0.3795918367346939,-0.3673469387755102,-0.5183673469387755,-0.42857142857142855,-0.6408163265306123,-0.43673469387755104,-0.3469387755102041,-0.7142857142857143,-0.34285714285714286,-0.8775510204081632,-0.34285714285714286,-1.0,-0.34285714285714286,-0.4897959183673469,-0.20816326530612245,-0.6040816326530613,-0.17551020408163265,-0.5102040816326531,-0.15510204081632653,-0.40408163265306124,-0.1510204081632653,-0.4897959183673469,-0.061224489795918366,-0.5183673469387755,-0.044897959183673466,-0.44081632653061226,-0.02857142857142857,-0.3510204081632653,-0.024489795918367346,-0.47346938775510206,0.07755102040816327,-0.46938775510204084,0.0653061224489796,-0.3795918367346939,0.07346938775510205,-0.30612244897959184,0.07755102040816327
G,0.0,0.0,-0.06097560975609756,-0.23577235772357724,-0.22357723577235772,-0.3821138211382114,-0.36585365853658536,-0.5203252032520326,-0.42276422764227645,-0.6422764227642277,-0.43902439024390244,-0.34959349593495936,-0.7195121951219512,-0.34959349593495936,-0.8780487804878049,-0.34552845528455284,-1.0,-0.34552845528455284,-0.4959349593495935,-0.21544715447154472,-0.5894308943089431,-0.18292682926829268,-0.5,-0.16666666666666666,-0.4024390243902439,-0.16260162601626016,-0.491869918699187,-0.06910569105691057,-0.508130081300813,-0.056910569105691054,-0.43089430894308944,-0.044715447154471545,-0.34959349593495936,-0.036585365853658534,-0.47560975609756095,0.06910569105691057,-0.45934959349593496,0.052845528455284556,-0.3699186991869919,0.06097560975609756,-0.3048780487804878,0.06504065040650407
G,0.0,0.0,-0.06072874493927125,-0.23481781376518218,-0.22672064777327935,-0.3805668016194332,-0.3684210526315789,-0.5182186234817814,-0.4251012145748988,-0.6437246963562753,-0.44129554655870445,-0.3522267206477733,-0.7246963562753036,-0.3522267206477733,-0.8825910931174089,-0.3481781376518219,-1.0,-0.3441295546558704,-0.5020242914979757,-0.22267206477732793,-0.5789473684210527,-0.18218623481781376,-0.4939271255060729,-0.16194331983805668,-0.3967611336032389,-0.1659919028340081,-0.4979757085020243,-0.0728744939271255,-0.4979757085020243,-0.05668016194331984,-0.4251012145748988,-0.044534412955465584,-0.3441295546558704,-0.04048582995951417,-0.4777327935222672,0.06072874493927125,-0.4534412955465587,0.048582995951417005,-0.3684210526315789,0.05668016194331984,-0.29959514170040485,0.06072874493927125
G,0.0,0.0,-0.0642570281124498,-0.2248995983935743,-0.2289156626506024,-0.37349397590361444,-0.37349397590361444,-0.5060240963855421,-0.42971887550200805,-0.6305220883534136,-0.43775100401606426,-0.3493975903614458,-0.7188755020080321,-0.3453815261044177,-0.8795180722891566,-0.3373493975903614,-1.0,-0.3333333333333333,-0.4939759036144578,-0.22088353413654618,-0.5783132530120482,-0.1606425702811245,-0.4899598393574297,-0.14457831325301204,-0.39357429718875503,-0.15261044176706828,-0.4939759036144578,-0.07630522088353414,-0.4979919678714859,-0.040160642570281124,-0.42570281124497994,-0.028112449799196786,-0.3453815261044177,-0.0321285140562249,-0.4779116465863454,0.0642570281124498,-0.4538152610441767,0.060240963855421686,-0.3654618473895582,0.06827309236947791,-0.2971887550200803,0.06827309236947791
