label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
S,0.0,0.0,-0.34868421052631576,-0.09868421052631579,-0.5789473684210527,-0.2631578947368421,-0.7960526315789473,-0.3618421052631579,-1.0,-0.4276315789473684,-0.3881578947368421,-0.618421052631579,-0.618421052631579,-0.8092105263157895,-0.756578947368421,-0.6907894736842105,-0.7697368421052632,-0.5328947368421053,-0.3157894736842105,-0.6644736842105263,-0.6118421052631579,-0.8881578947368421,-0.7631578947368421,-0.6973684210526315,-0.7631578947368421,-0.5197368421052632,-0.2565789473684211,-0.6907894736842105,-0.5723684210526315,-0.9210526315789473,-0.7368421052631579,-0.7105263157894737,-0.743421052631579,-0.5131578947368421,-0.23026315789473684,-0.6776315789473685,-0.5394736842105263,-0.8026315789473685,-0.6842105263157895,-0.6644736842105263,-0.6842105263157895,-0.506578947368421
S,0.0,0.0,-0.35526315789473684,-0.1118421052631579,-0.5855263157894737,-0.27631578947368424,-0.8026315789473685,-0.3815789473684211,-1.0,-0.4473684210526316,-0.3815789473684211,-0.625,-0.6118421052631579,-0.8157894736842105,-0.756578947368421,-0.6973684210526315,-0.7697368421052632,-0.5460526315789473,-0.3092105263157895,-0.6710526315789473,-0.6118421052631579,-0.8947368421052632,-0.7631578947368421,-0.7039473684210527,-0.7631578947368421,-0.5328947368421053,-0.25,-0.6973684210526315,-0.5723684210526315,-0.9276315789473685,-0.7368421052631579,-0.7171052631578947,-0.743421052631579,-0.5263157894736842,-0.23684210526315788,-0.6776315789473685,-0.5460526315789473,-0.8092105263157895,-0.6907894736842105,-0.6710526315789473,-0.6842105263157895,-0.5131578947368421
S,0.0,0.0,-0.35526315789473684,-0.1118421052631579,-0.5855263157894737,-0.28289473684210525,-0.8026315789473685,-0.3881578947368421,-1.0,-0.4605263157894737,-0.3684210526315789,-0.631578947368421,-0.6052631578947368,-0.8289473684210527,-0.743421052631579,-0.7105263157894737,-0.756578947368421,-0.5526315789473685,-0.3026315789473684,-0.6776315789473685,-0.5986842105263158,-0.9078947368421053,-0.756578947368421,-0.7171052631578947,-0.756578947368421,-0.5460526315789473,-0.24342105263157895,-0.7039473684210527,-0.5657894736842105,-0.9407894736842105,-0.7368421052631579,-0.7302631578947368,-0.7368421052631579,-0.5394736842105263,-0.23026315789473684,-0.6842105263157895,-0.5526315789473685,-0.8157894736842105,-0.6907894736842105,-0.6776315789473685,-0.6842105263157895,-0.5197368421052632
S,0.0,0.0,-0.3576158940397351,-0.11920529801324503,-0.5827814569536424,-0.2847682119205298,-0.8013245033112583,-0.39072847682119205,-1.0,-0.46357615894039733,-0.3443708609271523,-0.6490066225165563,-0.5894039735099338,-0.8344370860927153,-0.7350993377483444,-0.7152317880794702,-0.7417218543046358,-0.5496688741721855,-0.2781456953642384,-0.695364238410596,-0.5960264900662252,-0.9139072847682119,-0.7549668874172185,-0.7218543046357616,-0.7483443708609272,-0.5496688741721855,-0.2251655629139073,-0.7086092715231788,-0.5629139072847682,-0.9470198675496688,-0.7417218543046358,-0.7417218543046358,-0.7350993377483444,-0.543046357615894,-0.23178807947019867,-0.6887417218543046,-0.5695364238410596,-0.8211920529801324,-0.7019867549668874,-0.6821192052980133,-0.6887417218543046,-0.5231788079470199
S,0.0,0.0,-0.35947712418300654,-0.12418300653594772,-0.5816993464052288,-0.2875816993464052,-0.803921568627451,-0.38562091503267976,-1.0,-0.45751633986928103,-0.32679738562091504,-0.6601307189542484,-0.5882352941176471,-0.8235294117647058,-0.7189542483660131,-0.6993464052287581,-0.7320261437908496,-0.5359477124183006,-0.2549019607843137,-0.6993464052287581,-0.5947712418300654,-0.9084967320261438,-0.7450980392156863,-0.7124183006535948,-0.738562091503268,-0.5424836601307189,-0.20915032679738563,-0.7189542483660131,-0.5751633986928104,-0.9411764705882353,-0.7450980392156863,-0.738562091503268,-0.7320261437908496,-0.5424836601307189,-0.23529411764705882,-0.6862745098039216,-0.5816993464052288,-0.8169934640522876,-0.7124183006535948,-0.6797385620915033,-0.6928104575163399,-0.5228758169934641
S,0.0,0.0,-0.35714285714285715,-0.12337662337662338,-0.577922077922078,-0.2922077922077922,-0.7987012987012987,-0.38961038961038963,-1.0,-0.461038961038961,-0.3116883116883117,-0.6623376623376623,-0.5844155844155844,-0.8246753246753247,-0.7142857142857143,-0.7012987012987013,-0.7272727272727273,-0.5324675324675324,-0.24675324675324675,-0.7077922077922078,-0.5974025974025974,-0.9025974025974026,-0.7402597402597403,-0.7142857142857143,-0.7337662337662337,-0.538961038961039,-0.2012987012987013,-0.7207792207792207,-0.5714285714285714,-0.9415584415584416,-0.7402597402597403,-0.7337662337662337,-0.7337662337662337,-0.538961038961039,-0.23376623376623376,-0.6883116883116883,-0.5844155844155844,-0.8181818181818182,-0.7142857142857143,-0.6753246753246753,-0.6883116883116883,-0.5194805194805194
S,0.0,0.0,-0.35526315789473684,-0.11842105263157894,-0.5789473684210527,-0.2894736842105263,-0.8026315789473685,-0.3881578947368421,-1.0,-0.46710526315789475,-0.3157894736842105,-0.6710526315789473,-0.5921052631578947,-0.8355263157894737,-0.7302631578947368,-0.7105263157894737,-0.743421052631579,-0.5394736842105263,-0.24342105263157895,-0.7171052631578947,-0.6052631578947368,-0.9144736842105263,-0.756578947368421,-0.7236842105263158,-0.75,-0.5394736842105263,-0.20394736842105263,-0.7302631578947368,-0.5789473684210527,-0.9473684210526315,-0.75,-0.7368421052631579,-0.743421052631579,-0.5394736842105263,-0.23026315789473684,-0.6973684210526315,-0.5921052631578947,-0.8223684210526315,-0.7171052631578947,-0.6842105263157895,-0.6973684210526315,-0.5197368421052632
S,0.0,0.0,-0.36486486486486486,-0.12162162162162163,-0.5878378378378378,-0.28378378378378377,-0.8040540540540541,-0.38513513513513514,-1.0,-0.46621621621621623,-0.32432432432432434,-0.6824324324324325,-0.6148648648648649,-0.8513513513513513,-0.7567567567567568,-0.722972972972973,-0.7635135135135135,-0.5540540540540541,-0.25675675675675674,-0.7297297297297297,-0.6283783783783784,-0.9324324324324325,-0.7837837837837838,-0.7364864864864865,-0.7702702702702703,-0.5472972972972973,-0.21621621621621623,-0.7432432432432432,-0.6081081081081081,-0.972972972972973,-0.777027027027027,-0.75,-0.7567567567567568,-0.5472972972972973,-0.24324324324324326,-0.7162162162162162,-0.6148648648648649,-0.8445945945945946,-0.7432432432432432,-0.6959459459459459,-0.7094594594594594,-0.527027027027027
S,0.0,0.0,-0.3698630136986301,-0.1095890410958904,-0.5958904109589042,-0.273972602739726,-0.815068493150685,-0.3698630136986301,-1.0,-0.4520547945205479,-0.3424657534246575,-0.6917808219178082,-0.6506849315068494,-0.8561643835616438,-0.7876712328767124,-0.7191780821917808,-0.7876712328767124,-0.547945205479452,-0.273972602739726,-0.7397260273972602,-0.6643835616438356,-0.9383561643835616,-0.8082191780821918,-0.726027397260274,-0.7876712328767124,-0.547945205479452,-0.2328767123287671,-0.7534246575342466,-0.6438356164383562,-0.9726027397260274,-0.8013698630136986,-0.7465753424657534,-0.773972602739726,-0.541095890410959,-0.2602739726027397,-0.7191780821917808,-0.636986301369863,-0.8493150684931506,-0.7671232876712328,-0.6917808219178082,-0.726027397260274,-0.5205479452054794
S,0.0,0.0,-0.3673469387755102,-0.10204081632653061,-0.5918367346938775,-0.2653061224489796,-0.8095238095238095,-0.35374149659863946,-1.0,-0.42857142857142855,-0.3469387755102041,-0.6802721088435374,-0.6530612244897959,-0.8435374149659864,-0.7959183673469388,-0.7006802721088435,-0.7959183673469388,-0.5306122448979592,-0.2789115646258503,-0.7278911564625851,-0.673469387755102,-0.9251700680272109,-0.8163265306122449,-0.7142857142857143,-0.7959183673469388,-0.5306122448979592,-0.24489795918367346,-0.7414965986394558,-0.6530612244897959,-0.9591836734693877,-0.8095238095238095,-0.7346938775510204,-0.782312925170068,-0.5306122448979592,-0.272108843537415,-0.7074829931972789,-0.6530612244897959,-0.8299319727891157,-0.7755102040816326,-0.673469387755102,-0.7346938775510204,-0.5102040816326531
