label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
Y,0.0,0.0,-0.2484076433121019,-0.15286624203821655,-0.4012738853503185,-0.40764331210191085,-0.5095541401273885,-0.6050955414012739,-0.6242038216560509,-0.7133757961783439,-0.20382165605095542,-0.5987261146496815,-0.22929936305732485,-0.7707006369426752,-0.2229299363057325,-0.5796178343949044,-0.21656050955414013,-0.42038216560509556,-0.03821656050955414,-0.6050955414012739,-0.05732484076433121,-0.7515923566878981,-0.10828025477707007,-0.5414012738853503,-0.1337579617834395,-0.3885350318471338,0.1337579617834395,-0.5923566878980892,0.1464968152866242,-0.7898089171974523,0.050955414012738856,-0.6242038216560509,-0.012738853503184714,-0.47770700636942676,0.28662420382165604,-0.554140127388535,0.40764331210191085,-0.7579617834394905,0.4840764331210191,-0.8789808917197452,0.5477707006369427,-1.0
Y,0.0,0.0,-0.25,-0.16025641025641027,-0.40384615384615385,-0.4166666666666667,-0.5128205128205128,-0.6089743589743589,-0.6282051282051282,-0.717948717948718,-0.20512820512820512,-0.6089743589743589,-0.23076923076923078,-0.782051282051282,-0.23717948717948717,-0.5897435897435898,-0.22435897435897437,-0.4358974358974359,-0.038461538461538464,-0.6089743589743589,-0.0641025641025641,-0.75,-0.11538461538461539,-0.5384615384615384,-0.14102564102564102,-0.391025641025641,0.1282051282051282,-0.5897435897435898,0.1346153846153846,-0.7756410256410257,0.038461538461538464,-0.6025641025641025,-0.02564102564102564,-0.4551282051282051,0.28205128205128205,-0.5512820512820513,0.3974358974358974,-0.75,0.46794871794871795,-0.8717948717948718,0.5192307692307693,-1.0
Y,0.0,0.0,-0.2635135135135135,-0.16216216216216217,-0.4189189189189189,-0.4391891891891892,-0.527027027027027,-0.6351351351351351,-0.6418918918918919,-0.7432432432432432,-0.20945945945945946,-0.6351351351351351,-0.23648648648648649,-0.8175675675675675,-0.24324324324324326,-0.6148648648648649,-0.23648648648648649,-0.4527027027027027,-0.033783783783783786,-0.6283783783783784,-0.06756756756756757,-0.7702702702702703,-0.12162162162162163,-0.5540540540540541,-0.14864864864864866,-0.39864864864864863,0.14189189189189189,-0.6013513513513513,0.12837837837837837,-0.7702702702702703,0.033783783783783786,-0.5743243243243243,-0.02702702702702703,-0.42567567567567566,0.2972972972972973,-0.5540540540540541,0.40540540540540543,-0.75,0.4594594594594595,-0.8716216216216216,0.49324324324324326,-1.0
Y,0.0,0.0,-0.2805755395683453,-0.16546762589928057,-0.45323741007194246,-0.45323741007194246,-0.5611510791366906,-0.6618705035971223,-0.6762589928057554,-0.7769784172661871,-0.22302158273381295,-0.6690647482014388,-0.2517985611510791,-0.8561151079136691,-0.2589928057553957,-0.6474820143884892,-0.2589928057553957,-0.4748201438848921,-0.03597122302158273,-0.6546762589928058,-0.07194244604316546,-0.8057553956834532,-0.12949640287769784,-0.5683453237410072,-0.16546762589928057,-0.4028776978417266,0.14388489208633093,-0.6115107913669064,0.1223021582733813,-0.7697841726618705,0.02877697841726619,-0.5539568345323741,-0.03597122302158273,-0.39568345323741005,0.30935251798561153,-0.5539568345323741,0.41007194244604317,-0.7482014388489209,0.4460431654676259,-0.8705035971223022,0.45323741007194246,-1.0
Y,0.0,0.0,-0.28888888888888886,-0.17037037037037037,-0.4666666666666667,-0.4740740740740741,-0.5777777777777777,-0.6814814814814815,-0.7037037037037037,-0.8,-0.2222222222222222,-0.6888888888888889,-0.25925925925925924,-0.8888888888888888,-0.26666666666666666,-0.6666666666666666,-0.26666666666666666,-0.4962962962962963,-0.037037037037037035,-0.674074074074074,-0.07407407407407407,-0.8296296296296296,-0.13333333333333333,-0.5777777777777777,-0.16296296296296298,-0.4074074074074074,0.14814814814814814,-0.6222222222222222,0.11851851851851852,-0.7703703703703704,0.022222222222222223,-0.5481481481481482,-0.044444444444444446,-0.3851851851851852,0.31851851851851853,-0.5555555555555556,0.4148148148148148,-0.7555555555555555,0.42962962962962964,-0.8740740740740741,0.4148148148148148,-1.0
Y,0.0,0.0,-0.2867647058823529,-0.16911764705882354,-0.4632352941176471,-0.4632352941176471,-0.5661764705882353,-0.6691176470588235,-0.6911764705882353,-0.7941176470588235,-0.22058823529411764,-0.6838235294117647,-0.25735294117647056,-0.8823529411764706,-0.2647058823529412,-0.6617647058823529,-0.25735294117647056,-0.49264705882352944,-0.03676470588235294,-0.6691176470588235,-0.07352941176470588,-0.8235294117647058,-0.1323529411764706,-0.5735294117647058,-0.16176470588235295,-0.39705882352941174,0.14705882352941177,-0.6176470588235294,0.11029411764705882,-0.7573529411764706,0.014705882352941176,-0.5367647058823529,-0.04411764705882353,-0.38235294117647056,0.3088235294117647,-0.5514705882352942,0.40441176470588236,-0.75,0.4264705882352941,-0.875,0.4117647058823529,-1.0
Y,0.0,0.0,-0.2785714285714286,-0.16428571428571428,-0.45,-0.45,-0.55,-0.65,-0.6714285714285714,-0.7714285714285715,-0.21428571428571427,-0.6642857142857143,-0.25,-0.8571428571428571,-0.2571428571428571,-0.6428571428571429,-0.25,-0.4714285714285714,-0.03571428571428571,-0.65,-0.07142857142857142,-0.8071428571428572,-0.12857142857142856,-0.5642857142857143,-0.15714285714285714,-0.39285714285714285,0.1357142857142857,-0.6,0.10714285714285714,-0.7357142857142858,0.014285714285714285,-0.5285714285714286,-0.05,-0.37142857142857144,0.3,-0.5357142857142857,0.38571428571428573,-0.7428571428571429,0.4142857142857143,-0.8714285714285714,0.42142857142857143,-1.0
Y,0.0,0.0,-0.2638888888888889,-0.1597222222222222,-0.4305555555555556,-0.4375,-0.5277777777777778,-0.6319444444444444,-0.6458333333333334,-0.7430555555555556,-0.2013888888888889,-0.6458333333333334,-0.2361111111111111,-0.8263888888888888,-0.24305555555555555,-0.625,-0.2361111111111111,-0.4583333333333333,-0.034722222222222224,-0.6319444444444444,-0.0625,-0.7847222222222222,-0.11805555555555555,-0.5486111111111112,-0.1527777777777778,-0.3819444444444444,0.13194444444444445,-0.5833333333333334,0.10416666666666667,-0.7222222222222222,0.013888888888888888,-0.5138888888888888,-0.041666666666666664,-0.3680555555555556,0.2916666666666667,-0.5277777777777778,0.3819444444444444,-0.7291666666666666,0.4236111111111111,-0.8611111111111112,0.4444444444444444,-1.0
Y,0.0,0.0,-0.2585034013605442,-0.14965986394557823,-0.4217687074829932,-0.42857142857142855,-0.5238095238095238,-0.6122448979591837,-0.6394557823129252,-0.7278911564625851,-0.20408163265306123,-0.6326530612244898,-0.23129251700680273,-0.8095238095238095,-0.24489795918367346,-0.6122448979591837,-0.23809523809523808,-0.4489795918367347,-0.034013605442176874,-0.6122448979591837,-0.06802721088435375,-0.7619047619047619,-0.12244897959183673,-0.5374149659863946,-0.1564625850340136,-0.3741496598639456,0.1292517006802721,-0.5714285714285714,0.10204081632653061,-0.7006802721088435,0.006802721088435374,-0.5034013605442177,-0.047619047619047616,-0.35374149659863946,0.2789115646258503,-0.5170068027210885,0.3741496598639456,-0.7210884353741497,0.41496598639455784,-0.8571428571428571,0.4489795918367347,-1.0
Y,0.0,0.0,-0.25675675675675674,-0.14864864864864866,-0.4189189189189189,-0.4189189189189189,-0.5202702702702703,-0.6081081081081081,-0.6351351351351351,-0.7162162162162162,-0.19594594594594594,-0.6216216216216216,-0.22972972972972974,-0.7972972972972973,-0.23648648648648649,-0.6013513513513513,-0.23648648648648649,-0.4391891891891892,-0.033783783783783786,-0.6013513513513513,-0.060810810810810814,-0.75,-0.12162162162162163,-0.527027027027027,-0.1554054054054054,-0.36486486486486486,0.12837837837837837,-0.5608108108108109,0.10135135135135136,-0.6891891891891891,0.006756756756756757,-0.49324324324324326,-0.0472972972972973,-0.34459459459459457,0.27702702702702703,-0.5135135135135135,0.3716216216216216,-0.7162162162162162,0.42567567567567566,-0.8581081081081081,0.46621621621621623,-1.0
