label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
C,0.0,0.0,-0.3464566929133858,0.015748031496062992,-0.5826771653543307,-0.09448818897637795,-0.7795275590551181,-0.13385826771653545,-0.9212598425196851,-0.25196850393700787,-0.28346456692913385,-0.7007874015748031,-0.5590551181102362,-0.8661417322834646,-0.7952755905511811,-0.8346456692913385,-0.9291338582677166,-0.7401574803149606,-0.2204724409448819,-0.7559055118110236,-0.5748031496062992,-0.984251968503937,-0.84251968503937,-0.905511811023622,-0.968503937007874,-0.7716535433070866,-0.2283464566929134,-0.7401574803149606,-0.5826771653543307,-1.0,-0.84251968503937,-0.9212598425196851,-0.9763779527559056,-0.7952755905511811,-0.3228346456692913,-0.6692913385826772,-0.6220472440944882,-0.905511811023622,-0.8267716535433071,-0.8661417322834646,-0.9448818897637795,-0.7716535433070866
C,0.0,0.0,-0.34375,0.015625,-0.578125,-0.0859375,-0.7734375,-0.125,-0.9140625,-0.234375,-0.2734375,-0.6953125,-0.5546875,-0.8671875,-0.78125,-0.8359375,-0.921875,-0.75,-0.21875,-0.75,-0.5703125,-0.984375,-0.8359375,-0.9140625,-0.9609375,-0.7734375,-0.2265625,-0.734375,-0.5703125,-1.0,-0.8359375,-0.921875,-0.96875,-0.796875,-0.3203125,-0.6640625,-0.609375,-0.90625,-0.8125,-0.8671875,-0.9375,-0.765625
C,0.0,0.0,-0.34615384615384615,0.015384615384615385,-0.5846153846153846,-0.09230769230769231,-0.7692307692307693,-0.13076923076923078,-0.9,-0.23846153846153847,-0.27692307692307694,-0.6923076923076923,-0.5461538461538461,-0.8692307692307693,-0.7769230769230769,-0.8384615384615385,-0.9153846153846154,-0.7461538461538462,-0.2153846153846154,-0.7461538461538462,-0.5692307692307692,-0.9846153846153847,-0.8307692307692308,-0.9153846153846154,-0.9538461538461539,-0.7769230769230769,-0.2230769230769231,-0.7307692307692307,-0.5692307692307692,-1.0,-0.8307692307692308,-0.9230769230769231,-0.9615384615384616,-0.8,-0.3153846153846154,-0.6615384615384615,-0.6076923076923076,-0.9076923076923077,-0.8076923076923077,-0.8692307692307693,-0.9307692307692308,-0.7692307692307693
C,0.0,0.0,-0.3511450381679389,0.007633587786259542,-0.5877862595419847,-0.09923664122137404,-0.7709923664122137,-0.13740458015267176,-0.9007633587786259,-0.24427480916030533,-0.2824427480916031,-0.6946564885496184,-0.549618320610687,-0.8778625954198473,-0.7786259541984732,-0.8473282442748091,-0.9083969465648855,-0.7557251908396947,-0.22137404580152673,-0.7404580152671756,-0.5648854961832062,-0.9923664122137404,-0.8320610687022901,-0.916030534351145,-0.9465648854961832,-0.7786259541984732,-0.22900763358778625,-0.732824427480916,-0.5648854961832062,-1.0,-0.8320610687022901,-0.9236641221374046,-0.9541984732824428,-0.7938931297709924,-0.31297709923664124,-0.6641221374045801,-0.6106870229007634,-0.9083969465648855,-0.8091603053435115,-0.8625954198473282,-0.9312977099236641,-0.7633587786259542
C,0.0,0.0,-0.3409090909090909,0.007575757575757576,-0.5757575757575758,-0.10606060606060606,-0.7575757575757576,-0.14393939393939395,-0.8939393939393939,-0.25,-0.2803030303030303,-0.6893939393939394,-0.5378787878787878,-0.8712121212121212,-0.7651515151515151,-0.8409090909090909,-0.9015151515151515,-0.7575757575757576,-0.2196969696969697,-0.7424242424242424,-0.5606060606060606,-0.9848484848484849,-0.8181818181818182,-0.9166666666666666,-0.9393939393939394,-0.7803030303030303,-0.2196969696969697,-0.7348484848484849,-0.5606060606060606,-1.0,-0.8257575757575758,-0.9242424242424242,-0.9545454545454546,-0.7954545454545454,-0.30303030303030304,-0.6666666666666666,-0.5984848484848485,-0.9015151515151515,-0.803030303030303,-0.8636363636363636,-0.9242424242424242,-0.7651515151515151
C,0.0,0.0,-0.3458646616541353,0.007518796992481203,-0.5789473684210527,-0.10526315789473684,-0.7593984962406015,-0.14285714285714285,-0.8947368421052632,-0.2556390977443609,-0.2781954887218045,-0.6917293233082706,-0.5338345864661654,-0.8721804511278195,-0.7669172932330827,-0.8421052631578947,-0.9022556390977443,-0.7593984962406015,-0.21052631578947367,-0.7443609022556391,-0.556390977443609,-0.9849624060150376,-0.8195488721804511,-0.9172932330827067,-0.9398496240601504,-0.7894736842105263,-0.21804511278195488,-0.7293233082706767,-0.556390977443609,-1.0,-0.8195488721804511,-0.924812030075188,-0.9548872180451128,-0.8045112781954887,-0.3082706766917293,-0.6616541353383458,-0.6015037593984962,-0.9022556390977443,-0.8045112781954887,-0.8571428571428571,-0.9323308270676691,-0.7669172932330827
C,0.0,0.0,-0.3458646616541353,0.007518796992481203,-0.5789473684210527,-0.09774436090225563,-0.7669172932330827,-0.14285714285714285,-0.8947368421052632,-0.2556390977443609,-0.2706766917293233,-0.6992481203007519,-0.5413533834586466,-0.8721804511278195,-0.7744360902255639,-0.8421052631578947,-0.9097744360902256,-0.7593984962406015,-0.20300751879699247,-0.7518796992481203,-0.556390977443609,-0.9849624060150376,-0.8270676691729323,-0.924812030075188,-0.9548872180451128,-0.7894736842105263,-0.21052631578947367,-0.7368421052631579,-0.5639097744360902,-1.0,-0.8345864661654135,-0.924812030075188,-0.9699248120300752,-0.8045112781954887,-0.3082706766917293,-0.6616541353383458,-0.6090225563909775,-0.9022556390977443,-0.8195488721804511,-0.8646616541353384,-0.9398496240601504,-0.7669172932330827
C,0.0,0.0,-0.3560606060606061,0.015151515151515152,-0.5984848484848485,-0.08333333333333333,-0.7803030303030303,-0.12878787878787878,-0.9166666666666666,-0.24242424242424243,-0.2878787878787879,-0.696969696969697,-0.5681818181818182,-0.8712121212121212,-0.803030303030303,-0.8409090909090909,-0.9393939393939394,-0.75,-0.22727272727272727,-0.75,-0.5833333333333334,-0.9848484848484849,-0.8560606060606061,-0.9090909090909091,-0.9848484848484849,-0.7803030303030303,-0.23484848484848486,-0.7272727272727273,-0.5909090909090909,-0.9924242424242424,-0.8636363636363636,-0.9166666666666666,-1.0,-0.7954545454545454,-0.32575757575757575,-0.6590909090909091,-0.6363636363636364,-0.8863636363636364,-0.8409090909090909,-0.8484848484848485,-0.9696969696969697,-0.7575757575757576
C,0.0,0.0,-0.35074626865671643,0.022388059701492536,-0.5970149253731343,-0.07462686567164178,-0.7835820895522388,-0.1044776119402985,-0.9253731343283582,-0.208955223880597,-0.30597014925373134,-0.6791044776119403,-0.582089552238806,-0.8507462686567164,-0.8059701492537313,-0.8059701492537313,-0.9477611940298507,-0.7164179104477612,-0.2462686567164179,-0.7313432835820896,-0.6044776119402985,-0.9552238805970149,-0.8656716417910447,-0.8805970149253731,-0.9925373134328358,-0.746268656716418,-0.2537313432835821,-0.7089552238805971,-0.6044776119402985,-0.9626865671641791,-0.8656716417910447,-0.8805970149253731,-1.0,-0.7611940298507462,-0.3358208955223881,-0.6343283582089553,-0.6417910447761194,-0.8582089552238806,-0.8432835820895522,-0.8134328358208955,-0.9701492537313433,-0.7238805970149254
C,0.0,0.0,-0.35036496350364965,0.021897810218978103,-0.5912408759124088,-0.072992700729927,-0.781021897810219,-0.10218978102189781,-0.9197080291970803,-0.19708029197080293,-0.32116788321167883,-0.6642335766423357,-0.5912408759124088,-0.8175182481751825,-0.8102189781021898,-0.781021897810219,-0.948905109489051,-0.6861313868613139,-0.26277372262773724,-0.708029197080292,-0.6204379562043796,-0.9197080291970803,-0.8759124087591241,-0.8394160583941606,-0.9927007299270073,-0.708029197080292,-0.26277372262773724,-0.6934306569343066,-0.6204379562043796,-0.9343065693430657,-0.8759124087591241,-0.8467153284671532,-1.0,-0.7226277372262774,-0.35036496350364965,-0.6131386861313869,-0.6496350364963503,-0.8248175182481752,-0.8467153284671532,-0.781021897810219,-0.9635036496350365,-0.6861313868613139
C,0.0,0.0,-0.3404255319148936,0.02127659574468085,-0.5957446808510638,-0.06382978723404255,-0.7730496453900709,-0.0851063829787234,-0.9078014184397163,-0.1773049645390071,-0.3333333333333333,-0.6382978723404256,-0.6028368794326241,-0.7659574468085106,-0.8156028368794326,-0.723404255319149,-0.950354609929078,-0.6382978723404256,-0.2765957446808511,-0.6808510638297872,-0.6382978723404256,-0.8652482269503546,-0.8794326241134752,-0.7801418439716312,-0.9929078014184397,-0.6453900709219859,-0.2765957446808511,-0.6666666666666666,-0.6312056737588653,-0.8794326241134752,-0.8794326241134752,-0.7872340425531915,-1.0,-0.6595744680851063,-0.3546099290780142,-0.5886524822695035,-0.6595744680851063,-0.7801418439716312,-0.851063829787234,-0.7304964539007093,-0.9645390070921985,-0.6382978723404256
