label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
K,0.0,0.0,0.057692307692307696,-0.23717948717948717,0.038461538461538464,-0.4358974358974359,0.019230769230769232,-0.5897435897435898,0.0,-0.7307692307692307,-0.21794871794871795,-0.5064102564102564,-0.1282051282051282,-0.7371794871794872,-0.08333333333333333,-0.8846153846153846,-0.05128205128205128,-1.0,-0.20512820512820512,-0.4551282051282051,0.02564102564102564,-0.6730769230769231,0.1858974358974359,-0.7756410256410257,0.30128205128205127,-0.8397435897435898,-0.14743589743589744,-0.391025641025641,0.14743589743589744,-0.4935897435897436,0.1858974358974359,-0.3974358974358974,0.1794871794871795,-0.3333333333333333,-0.07051282051282051,-0.3269230769230769,0.17307692307692307,-0.40384615384615385,0.21794871794871795,-0.33974358974358976,0.21153846153846154,-0.2948717948717949
K,0.0,0.0,0.05806451612903226,-0.23870967741935484,0.03870967741935484,-0.43870967741935485,0.01935483870967742,-0.5935483870967742,0.0,-0.7290322580645161,-0.21935483870967742,-0.5096774193548387,-0.12903225806451613,-0.7419354838709677,-0.08387096774193549,-0.8838709677419355,-0.05161290322580645,-1.0,-0.2129032258064516,-0.45806451612903226,0.01935483870967742,-0.6709677419354839,0.1870967741935484,-0.7741935483870968,0.3032258064516129,-0.8387096774193549,-0.16129032258064516,-0.3935483870967742,0.14193548387096774,-0.4967741935483871,0.1870967741935484,-0.4,0.18064516129032257,-0.32903225806451614,-0.07741935483870968,-0.32903225806451614,0.16774193548387098,-0.4064516129032258,0.2129032258064516,-0.33548387096774196,0.2129032258064516,-0.2903225806451613
K,0.0,0.0,-0.026143790849673203,-0.20261437908496732,-0.0392156862745098,-0.41830065359477125,-0.0196078431372549,-0.5947712418300654,-0.013071895424836602,-0.738562091503268,-0.2222222222222222,-0.49019607843137253,-0.13071895424836602,-0.7450980392156863,-0.0784313725490196,-0.8888888888888888,-0.0457516339869281,-1.0,-0.1830065359477124,-0.4444444444444444,0.0457516339869281,-0.6797385620915033,0.20915032679738563,-0.7777777777777778,0.3202614379084967,-0.8431372549019608,-0.10457516339869281,-0.38562091503267976,0.16993464052287582,-0.5032679738562091,0.1895424836601307,-0.4117647058823529,0.1503267973856209,-0.3464052287581699,-0.006535947712418301,-0.32679738562091504,0.21568627450980393,-0.40522875816993464,0.2222222222222222,-0.3333333333333333,0.1895424836601307,-0.28104575163398693
K,0.0,0.0,0.11464968152866242,-0.2611464968152866,0.08280254777070063,-0.4585987261146497,0.03184713375796178,-0.5923566878980892,0.006369426751592357,-0.7261146496815286,-0.19745222929936307,-0.535031847133758,-0.11464968152866242,-0.7452229299363057,-0.07643312101910828,-0.8853503184713376,-0.050955414012738856,-1.0,-0.2229299363057325,-0.4840764331210191,0.006369426751592357,-0.6751592356687898,0.16560509554140126,-0.7707006369426752,0.2802547770700637,-0.8343949044585988,-0.20382165605095542,-0.4140127388535032,0.09554140127388536,-0.5159235668789809,0.17834394904458598,-0.40764331210191085,0.20382165605095542,-0.3248407643312102,-0.14012738853503184,-0.34394904458598724,0.10191082802547771,-0.4140127388535032,0.17197452229299362,-0.34394904458598724,0.19745222929936307,-0.2802547770700637
K,0.0,0.0,0.11038961038961038,-0.24675324675324675,0.09740259740259741,-0.44155844155844154,0.03896103896103896,-0.577922077922078,-0.006493506493506494,-0.7142857142857143,-0.16233766233766234,-0.5584415584415584,-0.11038961038961038,-0.7597402597402597,-0.07792207792207792,-0.8896103896103896,-0.05844155844155844,-1.0,-0.22727272727272727,-0.512987012987013,-0.032467532467532464,-0.6753246753246753,0.11688311688311688,-0.7727272727272727,0.22727272727272727,-0.8311688311688312,-0.23376623376623376,-0.44155844155844154,0.045454545454545456,-0.5194805194805194,0.14285714285714285,-0.4090909090909091,0.2012987012987013,-0.3116883116883117,-0.2077922077922078,-0.35714285714285715,0.025974025974025976,-0.4155844155844156,0.11038961038961038,-0.33766233766233766,0.16233766233766234,-0.2727272727272727
K,0.0,0.0,0.11038961038961038,-0.24025974025974026,0.09740259740259741,-0.44155844155844154,0.03896103896103896,-0.5714285714285714,-0.01948051948051948,-0.7012987012987013,-0.17532467532467533,-0.551948051948052,-0.12337662337662338,-0.7532467532467533,-0.09740259740259741,-0.8831168831168831,-0.07792207792207792,-1.0,-0.23376623376623376,-0.5064935064935064,-0.045454545454545456,-0.6753246753246753,0.09090909090909091,-0.7662337662337663,0.2012987012987013,-0.8311688311688312,-0.24675324675324675,-0.43506493506493504,0.025974025974025976,-0.5194805194805194,0.13636363636363635,-0.4090909090909091,0.19480519480519481,-0.3181818181818182,-0.22077922077922077,-0.35064935064935066,0.006493506493506494,-0.4090909090909091,0.09740259740259741,-0.33766233766233766,0.14935064935064934,-0.2662337662337662
K,0.0,0.0,0.10967741935483871,-0.25806451612903225,0.07741935483870968,-0.45161290322580644,0.01935483870967742,-0.5870967741935483,-0.03225806451612903,-0.7225806451612903,-0.2129032258064516,-0.535483870967742,-0.15483870967741936,-0.7483870967741936,-0.12258064516129032,-0.8838709677419355,-0.1032258064516129,-1.0,-0.25806451612903225,-0.49032258064516127,-0.05161290322580645,-0.6709677419354839,0.0967741935483871,-0.7806451612903226,0.2129032258064516,-0.8516129032258064,-0.25161290322580643,-0.41935483870967744,0.03870967741935484,-0.5225806451612903,0.14193548387096774,-0.41935483870967744,0.1935483870967742,-0.33548387096774196,-0.2,-0.3419354838709677,0.03870967741935484,-0.4258064516129032,0.12258064516129032,-0.3548387096774194,0.16774193548387098,-0.2903225806451613
K,0.0,0.0,0.10256410256410256,-0.2692307692307692,0.07051282051282051,-0.46153846153846156,0.00641025641025641,-0.5961538461538461,-0.04487179487179487,-0.7371794871794872,-0.21794871794871795,-0.532051282051282,-0.16025641025641027,-0.7435897435897436,-0.1282051282051282,-0.8846153846153846,-0.10897435897435898,-1.0,-0.26282051282051283,-0.48717948717948717,-0.05128205128205128,-0.6730769230769231,0.09615384615384616,-0.782051282051282,0.21153846153846154,-0.8525641025641025,-0.24358974358974358,-0.4166666666666667,0.038461538461538464,-0.532051282051282,0.14102564102564102,-0.42948717948717946,0.19230769230769232,-0.33974358974358976,-0.19230769230769232,-0.33974358974358976,0.038461538461538464,-0.42948717948717946,0.1282051282051282,-0.358974358974359,0.17307692307692307,-0.2948717948717949
K,0.0,0.0,0.09803921568627451,-0.24183006535947713,0.0718954248366013,-0.4444444444444444,0.006535947712418301,-0.5816993464052288,-0.0457516339869281,-0.7058823529411765,-0.19607843137254902,-0.5620915032679739,-0.16339869281045752,-0.7581699346405228,-0.1503267973856209,-0.8823529411764706,-0.13725490196078433,-1.0,-0.2679738562091503,-0.5163398692810458,-0.10457516339869281,-0.6862745098039216,0.0196078431372549,-0.7908496732026143,0.11764705882352941,-0.8562091503267973,-0.3006535947712418,-0.4444444444444444,-0.0457516339869281,-0.5424836601307189,0.0784313725490196,-0.43790849673202614,0.16339869281045752,-0.3464052287581699,-0.2875816993464052,-0.35947712418300654,-0.0718954248366013,-0.43137254901960786,0.032679738562091505,-0.35947712418300654,0.09803921568627451,-0.2875816993464052
K,0.0,0.0,0.09803921568627451,-0.26143790849673204,0.058823529411764705,-0.46405228758169936,-0.006535947712418301,-0.6013071895424836,-0.0718954248366013,-0.738562091503268,-0.23529411764705882,-0.5490196078431373,-0.1895424836601307,-0.7516339869281046,-0.16339869281045752,-0.8823529411764706,-0.1437908496732026,-1.0,-0.2875816993464052,-0.49673202614379086,-0.0915032679738562,-0.6797385620915033,0.0457516339869281,-0.7908496732026143,0.1568627450980392,-0.8627450980392157,-0.28104575163398693,-0.42483660130718953,-0.006535947712418301,-0.5359477124183006,0.1111111111111111,-0.43790849673202614,0.1830065359477124,-0.35294117647058826,-0.24183006535947713,-0.33986928104575165,-0.013071895424836602,-0.43137254901960786,0.08496732026143791,-0.3660130718954248,0.1437908496732026,-0.3006535947712418
K,0.0,0.0,0.09032258064516129,-0.27741935483870966,0.05161290322580645,-0.47096774193548385,-0.0064516129032258064,-0.6,-0.04516129032258064,-0.7483870967741936,-0.25161290322580643,-0.5161290322580645,-0.18064516129032257,-0.7419354838709677,-0.14193548387096774,-0.8838709677419355,-0.10967741935483871,-1.0,-0.2709677419354839,-0.4645161290322581,-0.04516129032258064,-0.6709677419354839,0.11612903225806452,-0.7870967741935484,0.23870967741935484,-0.8580645161290322,-0.23225806451612904,-0.3935483870967742,0.07096774193548387,-0.5225806451612903,0.16129032258064516,-0.41935483870967744,0.1935483870967742,-0.33548387096774196,-0.15483870967741936,-0.32903225806451614,0.08387096774193549,-0.4258064516129032,0.16774193548387098,-0.36129032258064514,0.1935483870967742,-0.3096774193548387
K,0.0,0.0,0.046052631578947366,-0.26973684210526316,0.006578947368421052,-0.47368421052631576,-0.046052631578947366,-0.618421052631579,-0.08552631578947369,-0.756578947368421,-0.2894736842105263,-0.4934210526315789,-0.2236842105263158,-0.7302631578947368,-0.18421052631578946,-0.881578947368421,-0.15789473684210525,-1.0,-0.27631578947368424,-0.4276315789473684,-0.05263157894736842,-0.6644736842105263,0.10526315789473684,-0.7894736842105263,0.2236842105263158,-0.875,-0.21052631578947367,-0.35526315789473684,0.07894736842105263,-0.506578947368421,0.15789473684210525,-0.4276315789473684,0.17105263157894737,-0.3684210526315789,-0.11842105263157894,-0.2894736842105263,0.11842105263157894,-0.40789473684210525,0.18421052631578946,-0.3618421052631579,0.19736842105263158,-0.3223684210526316
K,0.0,0.0,0.034013605442176874,-0.30612244897959184,-0.047619047619047616,-0.4965986394557823,-0.1292517006802721,-0.6258503401360545,-0.19727891156462585,-0.7687074829931972,-0.35374149659863946,-0.4965986394557823,-0.3197278911564626,-0.7278911564625851,-0.30612244897959184,-0.8775510204081632,-0.29931972789115646,-1.0,-0.36054421768707484,-0.41496598639455784,-0.1564625850340136,-0.6530612244897959,-0.013605442176870748,-0.7959183673469388,0.09523809523809523,-0.8979591836734694,-0.2925170068027211,-0.3197278911564626,-0.006802721088435374,-0.4965986394557823,0.12244897959183673,-0.4557823129251701,0.1836734693877551,-0.40816326530612246,-0.19727891156462585,-0.24489795918367346,0.04081632653061224,-0.3741496598639456,0.1360544217687075,-0.3673469387755102,0.17687074829931973,-0.3469387755102041
K,0.0,0.0,0.007194244604316547,-0.3381294964028777,-0.09352517985611511,-0.5251798561151079,-0.2014388489208633,-0.6402877697841727,-0.30935251798561153,-0.7769784172661871,-0.43884892086330934,-0.5035971223021583,-0.4460431654676259,-0.7194244604316546,-0.45323741007194246,-0.8705035971223022,-0.460431654676259,-1.0,-0.45323741007194246,-0.38848920863309355,-0.2733812949640288,-0.6546762589928058,-0.12949640287769784,-0.7985611510791367,-0.014388489208633094,-0.8992805755395683,-0.381294964028777,-0.2805755395683453,-0.10071942446043165,-0.5035971223021583,0.05755395683453238,-0.4892086330935252,0.1510791366906475,-0.460431654676259,-0.2733812949640288,-0.19424460431654678,-0.03597122302158273,-0.35251798561151076,0.07913669064748201,-0.3669064748201439,0.12949640287769784,-0.3669064748201439
K,0.0,0.0,-0.014388489208633094,-0.3381294964028777,-0.12949640287769784,-0.5323741007194245,-0.2446043165467626,-0.6474820143884892,-0.3597122302158273,-0.7697841726618705,-0.4748201438848921,-0.49640287769784175,-0.49640287769784175,-0.7122302158273381,-0.5107913669064749,-0.8633093525179856,-0.5251798561151079,-1.0,-0.4892086330935252,-0.381294964028777,-0.33093525179856115,-0.6402877697841727,-0.19424460431654678,-0.7841726618705036,-0.07913669064748201,-0.8848920863309353,-0.4172661870503597,-0.26618705035971224,-0.14388489208633093,-0.4892086330935252,0.02158273381294964,-0.49640287769784175,0.12949640287769784,-0.4748201438848921,-0.30935251798561153,-0.16546762589928057,-0.07913669064748201,-0.33093525179856115,0.04316546762589928,-0.3669064748201439,0.11510791366906475,-0.381294964028777
K,0.0,0.0,0.04054054054054054,-0.30405405405405406,-0.05405405405405406,-0.5067567567567568,-0.16216216216216217,-0.6351351351351351,-0.25675675675675674,-0.7635135135135135,-0.3783783783783784,-0.5135135135135135,-0.38513513513513514,-0.7297297297297297,-0.39864864864864863,-0.8783783783783784,-0.40540540540540543,-1.0,-0.4189189189189189,-0.43243243243243246,-0.25675675675675674,-0.6621621621621622,-0.13513513513513514,-0.8040540540540541,-0.04054054054054054,-0.9054054054054054,-0.3918918918918919,-0.34459459459459457,-0.11486486486486487,-0.527027027027027,0.033783783783783786,-0.4594594594594595,0.12837837837837837,-0.39864864864864863,-0.31756756756756754,-0.25,-0.08783783783783784,-0.3918918918918919,0.033783783783783786,-0.3716216216216216,0.10810810810810811,-0.34459459459459457
K,0.0,0.0,0.027972027972027972,-0.3006993006993007,-0.06993006993006994,-0.4965034965034965,-0.17482517482517482,-0.6083916083916084,-0.2937062937062937,-0.7202797202797203,-0.4125874125874126,-0.4755244755244755,-0.42657342657342656,-0.7132867132867133,-0.4405594405594406,-0.8671328671328671,-0.46153846153846156,-1.0,-0.44755244755244755,-0.4195804195804196,-0.3076923076923077,-0.6923076923076923,-0.1958041958041958,-0.8671328671328671,-0.11188811188811189,-0.9790209790209791,-0.42657342657342656,-0.35664335664335667,-0.16783216783216784,-0.5874125874125874,-0.013986013986013986,-0.5104895104895105,0.09090909090909091,-0.42657342657342656,-0.35664335664335667,-0.3006993006993007,-0.14685314685314685,-0.4965034965034965,-0.02097902097902098,-0.45454545454545453,0.06993006993006994,-0.3986013986013986
