label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
L,0.0,0.0,-0.22962962962962963,-0.014814814814814815,-0.45925925925925926,-0.08148148148148149,-0.6888888888888889,-0.1037037037037037,-0.8592592592592593,-0.13333333333333333,-0.42962962962962964,-0.4666666666666667,-0.5555555555555556,-0.7037037037037037,-0.6296296296296297,-0.8592592592592593,-0.6814814814814815,-1.0,-0.28888888888888886,-0.5037037037037037,-0.32592592592592595,-0.5925925925925926,-0.26666666666666666,-0.3925925925925926,-0.23703703703703705,-0.3111111111111111,-0.13333333333333333,-0.5037037037037037,-0.15555555555555556,-0.5481481481481482,-0.13333333333333333,-0.35555555555555557,-0.1259259259259259,-0.3037037037037037,0.007407407407407408,-0.48148148148148145,-0.007407407407407408,-0.5407407407407407,-0.022222222222222223,-0.3851851851851852,-0.022222222222222223,-0.34074074074074073
L,0.0,0.0,-0.23880597014925373,-0.007462686567164179,-0.4626865671641791,-0.07462686567164178,-0.7014925373134329,-0.1044776119402985,-0.8805970149253731,-0.12686567164179105,-0.44029850746268656,-0.4626865671641791,-0.5671641791044776,-0.7014925373134329,-0.6417910447761194,-0.8507462686567164,-0.6940298507462687,-1.0,-0.29850746268656714,-0.5074626865671642,-0.3358208955223881,-0.582089552238806,-0.27611940298507465,-0.3880597014925373,-0.2462686567164179,-0.30597014925373134,-0.1417910447761194,-0.5074626865671642,-0.16417910447761194,-0.5447761194029851,-0.1417910447761194,-0.35074626865671643,-0.13432835820895522,-0.30597014925373134,0.0,-0.48507462686567165,-0.014925373134328358,-0.5373134328358209,-0.029850746268656716,-0.3805970149253731,-0.029850746268656716,-0.3358208955223881
L,0.0,0.0,-0.23703703703703705,-0.022222222222222223,-0.45925925925925926,-0.08148148148148149,-0.7037037037037037,-0.1111111111111111,-0.8740740740740741,-0.14074074074074075,-0.43703703703703706,-0.4740740740740741,-0.562962962962963,-0.7037037037037037,-0.6370370370370371,-0.8518518518518519,-0.6888888888888889,-1.0,-0.2962962962962963,-0.5111111111111111,-0.3333333333333333,-0.5925925925925926,-0.2740740740740741,-0.3925925925925926,-0.24444444444444444,-0.3111111111111111,-0.14074074074074075,-0.5111111111111111,-0.17037037037037037,-0.5481481481481482,-0.14074074074074075,-0.35555555555555557,-0.14074074074074075,-0.3111111111111111,0.0,-0.4888888888888889,-0.014814814814814815,-0.5407407407407407,-0.037037037037037035,-0.3851851851851852,-0.037037037037037035,-0.34074074074074073
L,0.0,0.0,-0.23703703703703705,-0.022222222222222223,-0.45185185185185184,-0.08148148148148149,-0.6962962962962963,-0.1111111111111111,-0.8740740740740741,-0.14074074074074075,-0.42962962962962964,-0.4740740740740741,-0.5555555555555556,-0.7037037037037037,-0.6296296296296297,-0.8592592592592593,-0.6814814814814815,-1.0,-0.28888888888888886,-0.5111111111111111,-0.32592592592592595,-0.5925925925925926,-0.26666666666666666,-0.3851851851851852,-0.23703703703703705,-0.3111111111111111,-0.13333333333333333,-0.5111111111111111,-0.16296296296296298,-0.5555555555555556,-0.14074074074074075,-0.35555555555555557,-0.13333333333333333,-0.3037037037037037,0.0,-0.48148148148148145,-0.007407407407407408,-0.5407407407407407,-0.02962962962962963,-0.3851851851851852,-0.037037037037037035,-0.34074074074074073
L,0.0,0.0,-0.23703703703703705,-0.022222222222222223,-0.45925925925925926,-0.08148148148148149,-0.6962962962962963,-0.11851851851851852,-0.8740740740740741,-0.14814814814814814,-0.42962962962962964,-0.4740740740740741,-0.5555555555555556,-0.7037037037037037,-0.6296296296296297,-0.8592592592592593,-0.6814814814814815,-1.0,-0.28888888888888886,-0.5111111111111111,-0.32592592592592595,-0.5925925925925926,-0.2740740740740741,-0.3851851851851852,-0.24444444444444444,-0.3111111111111111,-0.13333333333333333,-0.5111111111111111,-0.16296296296296298,-0.5555555555555556,-0.14074074074074075,-0.35555555555555557,-0.14074074074074075,-0.3037037037037037,0.0,-0.48148148148148145,-0.007407407407407408,-0.5407407407407407,-0.02962962962962963,-0.3851851851851852,-0.037037037037037035,-0.34074074074074073
L,0.0,0.0,-0.23703703703703705,-0.022222222222222223,-0.45925925925925926,-0.08148148148148149,-0.7037037037037037,-0.11851851851851852,-0.8814814814814815,-0.14814814814814814,-0.43703703703703706,-0.4740740740740741,-0.562962962962963,-0.7037037037037037,-0.6296296296296297,-0.8592592592592593,-0.6814814814814815,-1.0,-0.28888888888888886,-0.5111111111111111,-0.3333333333333333,-0.5925925925925926,-0.2740740740740741,-0.3851851851851852,-0.24444444444444444,-0.3111111111111111,-0.13333333333333333,-0.5111111111111111,-0.16296296296296298,-0.5555555555555556,-0.14074074074074075,-0.35555555555555557,-0.14074074074074075,-0.3037037037037037,0.0,-0.48148148148148145,-0.014814814814814815,-0.5407407407407407,-0.037037037037037035,-0.3851851851851852,-0.037037037037037035,-0.34074074074074073
L,0.0,0.0,-0.23703703703703705,-0.022222222222222223,-0.45185185185185184,-0.08888888888888889,-0.6962962962962963,-0.11851851851851852,-0.8740740740740741,-0.14814814814814814,-0.42962962962962964,-0.4740740740740741,-0.5555555555555556,-0.7037037037037037,-0.6296296296296297,-0.8592592592592593,-0.674074074074074,-1.0,-0.28888888888888886,-0.5111111111111111,-0.32592592592592595,-0.5925925925925926,-0.26666666666666666,-0.3851851851851852,-0.23703703703703705,-0.3111111111111111,-0.13333333333333333,-0.5111111111111111,-0.16296296296296298,-0.5555555555555556,-0.13333333333333333,-0.35555555555555557,-0.13333333333333333,-0.3111111111111111,0.007407407407407408,-0.48148148148148145,-0.007407407407407408,-0.5407407407407407,-0.02962962962962963,-0.3851851851851852,-0.037037037037037035,-0.34074074074074073
L,0.0,0.0,-0.23134328358208955,-0.007462686567164179,-0.4626865671641791,-0.07462686567164178,-0.7089552238805971,-0.11194029850746269,-0.8805970149253731,-0.13432835820895522,-0.44029850746268656,-0.4626865671641791,-0.5671641791044776,-0.7014925373134329,-0.6417910447761194,-0.8507462686567164,-0.6865671641791045,-1.0,-0.291044776119403,-0.5074626865671642,-0.3358208955223881,-0.5895522388059702,-0.27611940298507465,-0.3880597014925373,-0.2462686567164179,-0.31343283582089554,-0.13432835820895522,-0.5074626865671642,-0.16417910447761194,-0.5522388059701493,-0.1417910447761194,-0.35074626865671643,-0.13432835820895522,-0.30597014925373134,0.007462686567164179,-0.48507462686567165,-0.014925373134328358,-0.5373134328358209,-0.029850746268656716,-0.3805970149253731,-0.029850746268656716,-0.34328358208955223
L,0.0,0.0,-0.22388059701492538,-0.007462686567164179,-0.4626865671641791,-0.07462686567164178,-0.7014925373134329,-0.11194029850746269,-0.8805970149253731,-0.13432835820895522,-0.43283582089552236,-0.4701492537313433,-0.5597014925373134,-0.7014925373134329,-0.6343283582089553,-0.8582089552238806,-0.6865671641791045,-1.0,-0.291044776119403,-0.5074626865671642,-0.3283582089552239,-0.5970149253731343,-0.27611940298507465,-0.3880597014925373,-0.23880597014925373,-0.31343283582089554,-0.13432835820895522,-0.5074626865671642,-0.16417910447761194,-0.5447761194029851,-0.13432835820895522,-0.35074626865671643,-0.12686567164179105,-0.30597014925373134,0.014925373134328358,-0.4925373134328358,-0.007462686567164179,-0.5373134328358209,-0.022388059701492536,-0.3805970149253731,-0.022388059701492536,-0.34328358208955223
L,0.0,0.0,-0.2222222222222222,-0.007407407407407408,-0.45925925925925926,-0.07407407407407407,-0.7037037037037037,-0.1037037037037037,-0.8740740740740741,-0.1259259259259259,-0.42962962962962964,-0.4666666666666667,-0.5481481481481482,-0.7037037037037037,-0.6148148148148148,-0.8592592592592593,-0.6592592592592592,-1.0,-0.28888888888888886,-0.5037037037037037,-0.3333333333333333,-0.5851851851851851,-0.2740740740740741,-0.3851851851851852,-0.24444444444444444,-0.3111111111111111,-0.13333333333333333,-0.5111111111111111,-0.16296296296296298,-0.5407407407407407,-0.13333333333333333,-0.34814814814814815,-0.1259259259259259,-0.3037037037037037,0.014814814814814815,-0.4888888888888889,-0.007407407407407408,-0.5333333333333333,-0.022222222222222223,-0.37777777777777777,-0.022222222222222223,-0.34074074074074073
L,0.0,0.0,-0.22302158273381295,-0.014388489208633094,-0.4460431654676259,-0.07913669064748201,-0.6834532374100719,-0.1079136690647482,-0.8561151079136691,-0.1223021582733813,-0.4172661870503597,-0.4676258992805755,-0.5035971223021583,-0.7050359712230215,-0.5539568345323741,-0.8633093525179856,-0.5827338129496403,-1.0,-0.2733812949640288,-0.5035971223021583,-0.31654676258992803,-0.5827338129496403,-0.26618705035971224,-0.381294964028777,-0.2302158273381295,-0.30935251798561153,-0.1223021582733813,-0.49640287769784175,-0.14388489208633093,-0.5251798561151079,-0.1223021582733813,-0.3381294964028777,-0.1223021582733813,-0.2949640287769784,0.02158273381294964,-0.4748201438848921,0.0,-0.5179856115107914,-0.014388489208633094,-0.37410071942446044,-0.02158273381294964,-0.33093525179856115
L,0.0,0.0,-0.2097902097902098,-0.013986013986013986,-0.42657342657342656,-0.08391608391608392,-0.6573426573426573,-0.1048951048951049,-0.8251748251748252,-0.11188811188811189,-0.3916083916083916,-0.46153846153846156,-0.44755244755244755,-0.6993006993006993,-0.4825174825174825,-0.8601398601398601,-0.4965034965034965,-1.0,-0.2517482517482518,-0.48951048951048953,-0.2937062937062937,-0.5664335664335665,-0.24475524475524477,-0.3706293706293706,-0.21678321678321677,-0.3006993006993007,-0.1048951048951049,-0.48951048951048953,-0.1258741258741259,-0.5104895104895105,-0.1048951048951049,-0.32867132867132864,-0.1048951048951049,-0.2867132867132867,0.027972027972027972,-0.46853146853146854,0.013986013986013986,-0.5034965034965035,0.0,-0.36363636363636365,-0.006993006993006993,-0.32167832167832167
L,0.0,0.0,-0.20833333333333334,-0.013888888888888888,-0.4236111111111111,-0.08333333333333333,-0.6527777777777778,-0.10416666666666667,-0.8125,-0.11805555555555555,-0.3819444444444444,-0.4583333333333333,-0.4305555555555556,-0.7013888888888888,-0.4513888888888889,-0.8611111111111112,-0.4652777777777778,-1.0,-0.25,-0.4861111111111111,-0.2916666666666667,-0.5555555555555556,-0.24305555555555555,-0.3611111111111111,-0.2152777777777778,-0.2986111111111111,-0.10416666666666667,-0.4791666666666667,-0.125,-0.5,-0.1111111111111111,-0.3194444444444444,-0.10416666666666667,-0.2847222222222222,0.034722222222222224,-0.4583333333333333,0.006944444444444444,-0.4930555555555556,-0.006944444444444444,-0.3541666666666667,-0.013888888888888888,-0.3125
L,0.0,0.0,-0.20833333333333334,-0.013888888888888888,-0.4236111111111111,-0.09027777777777778,-0.6458333333333334,-0.11805555555555555,-0.8125,-0.13194444444444445,-0.375,-0.4652777777777778,-0.4166666666666667,-0.7013888888888888,-0.4375,-0.8611111111111112,-0.4444444444444444,-1.0,-0.24305555555555555,-0.4861111111111111,-0.2916666666666667,-0.5555555555555556,-0.25,-0.3541666666666667,-0.2152777777777778,-0.2986111111111111,-0.09722222222222222,-0.4791666666666667,-0.13194444444444445,-0.4930555555555556,-0.1111111111111111,-0.3194444444444444,-0.10416666666666667,-0.2847222222222222,0.041666666666666664,-0.4583333333333333,0.006944444444444444,-0.4861111111111111,-0.006944444444444444,-0.3472222222222222,-0.006944444444444444,-0.3125
L,0.0,0.0,-0.2013888888888889,-0.020833333333333332,-0.4166666666666667,-0.10416666666666667,-0.6388888888888888,-0.13194444444444445,-0.8055555555555556,-0.1388888888888889,-0.3680555555555556,-0.4722222222222222,-0.4097222222222222,-0.7083333333333334,-0.4305555555555556,-0.8680555555555556,-0.4305555555555556,-1.0,-0.2361111111111111,-0.4930555555555556,-0.2847222222222222,-0.5486111111111112,-0.25,-0.3541666666666667,-0.2152777777777778,-0.3055555555555556,-0.09027777777777778,-0.4791666666666667,-0.125,-0.4930555555555556,-0.1111111111111111,-0.3125,-0.10416666666666667,-0.2916666666666667,0.04861111111111111,-0.4513888888888889,0.013888888888888888,-0.4861111111111111,-0.006944444444444444,-0.3472222222222222,-0.006944444444444444,-0.3125
L,0.0,0.0,-0.1958041958041958,-0.02097902097902098,-0.4125874125874126,-0.11188811188811189,-0.6363636363636364,-0.13286713286713286,-0.7972027972027972,-0.13986013986013987,-0.35664335664335667,-0.4755244755244755,-0.3986013986013986,-0.7132867132867133,-0.4195804195804196,-0.8671328671328671,-0.4195804195804196,-1.0,-0.22377622377622378,-0.4965034965034965,-0.27972027972027974,-0.5454545454545454,-0.2517482517482518,-0.34265734265734266,-0.21678321678321677,-0.3076923076923077,-0.08391608391608392,-0.4825174825174825,-0.11888111888111888,-0.48951048951048953,-0.11188811188811189,-0.3076923076923077,-0.1048951048951049,-0.2937062937062937,0.055944055944055944,-0.45454545454545453,0.013986013986013986,-0.4825174825174825,-0.006993006993006993,-0.34265734265734266,0.0,-0.3146853146853147
L,0.0,0.0,-0.19444444444444445,-0.027777777777777776,-0.4097222222222222,-0.11805555555555555,-0.625,-0.13194444444444445,-0.7916666666666666,-0.13194444444444445,-0.3541666666666667,-0.4861111111111111,-0.3888888888888889,-0.7083333333333334,-0.4097222222222222,-0.8680555555555556,-0.4097222222222222,-1.0,-0.2222222222222222,-0.4930555555555556,-0.2777777777777778,-0.5486111111111112,-0.25,-0.3402777777777778,-0.2152777777777778,-0.3125,-0.08333333333333333,-0.4791666666666667,-0.125,-0.4930555555555556,-0.11805555555555555,-0.3055555555555556,-0.10416666666666667,-0.2986111111111111,0.05555555555555555,-0.4513888888888889,0.013888888888888888,-0.4791666666666667,-0.006944444444444444,-0.3402777777777778,0.0,-0.3125
L,0.0,0.0,-0.1875,-0.034722222222222224,-0.4027777777777778,-0.11805555555555555,-0.625,-0.125,-0.7847222222222222,-0.10416666666666667,-0.3472222222222222,-0.4791666666666667,-0.3888888888888889,-0.7083333333333334,-0.4097222222222222,-0.8680555555555556,-0.4097222222222222,-1.0,-0.2152777777777778,-0.4930555555555556,-0.2777777777777778,-0.5486111111111112,-0.24305555555555555,-0.3472222222222222,-0.20833333333333334,-0.3125,-0.0763888888888889,-0.4791666666666667,-0.11805555555555555,-0.4930555555555556,-0.1111111111111111,-0.3125,-0.10416666666666667,-0.2986111111111111,0.0625,-0.4444444444444444,0.020833333333333332,-0.4722222222222222,0.0,-0.3402777777777778,0.0,-0.3125
L,0.0,0.0,-0.1875,-0.034722222222222224,-0.4027777777777778,-0.11805555555555555,-0.625,-0.1111111111111111,-0.7916666666666666,-0.08333333333333333,-0.3541666666666667,-0.4791666666666667,-0.3888888888888889,-0.7083333333333334,-0.4166666666666667,-0.8680555555555556,-0.4166666666666667,-1.0,-0.2222222222222222,-0.4930555555555556,-0.2777777777777778,-0.5555555555555556,-0.24305555555555555,-0.3541666666666667,-0.20833333333333334,-0.3125,-0.0763888888888889,-0.4791666666666667,-0.11805555555555555,-0.4930555555555556,-0.1111111111111111,-0.3125,-0.10416666666666667,-0.2986111111111111,0.0625,-0.4444444444444444,0.020833333333333332,-0.4722222222222222,-0.006944444444444444,-0.3402777777777778,0.0,-0.3125
L,0.0,0.0,-0.2013888888888889,-0.027777777777777776,-0.4097222222222222,-0.1111111111111111,-0.6319444444444444,-0.10416666666666667,-0.7986111111111112,-0.0763888888888889,-0.3611111111111111,-0.4722222222222222,-0.4027777777777778,-0.7013888888888888,-0.4236111111111111,-0.8611111111111112,-0.4305555555555556,-1.0,-0.22916666666666666,-0.4861111111111111,-0.2847222222222222,-0.5486111111111112,-0.25,-0.3472222222222222,-0.2152777777777778,-0.3055555555555556,-0.08333333333333333,-0.4722222222222222,-0.125,-0.4861111111111111,-0.11805555555555555,-0.3125,-0.1111111111111111,-0.2916666666666667,0.05555555555555555,-0.4375,0.013888888888888888,-0.4652777777777778,-0.013888888888888888,-0.3333333333333333,-0.006944444444444444,-0.3125
L,0.0,0.0,-0.19444444444444445,-0.027777777777777776,-0.4097222222222222,-0.1111111111111111,-0.6319444444444444,-0.10416666666666667,-0.7986111111111112,-0.0763888888888889,-0.3611111111111111,-0.4722222222222222,-0.4027777777777778,-0.7013888888888888,-0.4305555555555556,-0.8611111111111112,-0.4305555555555556,-1.0,-0.22916666666666666,-0.4861111111111111,-0.2847222222222222,-0.5486111111111112,-0.25,-0.3541666666666667,-0.2222222222222222,-0.3055555555555556,-0.08333333333333333,-0.4722222222222222,-0.125,-0.4861111111111111,-0.11805555555555555,-0.3125,-0.1111111111111111,-0.2916666666666667,0.05555555555555555,-0.4375,0.013888888888888888,-0.4722222222222222,-0.006944444444444444,-0.3402777777777778,-0.006944444444444444,-0.3125
