label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
L,0.0,0.0,0.2014388489208633,-0.03597122302158273,0.4244604316546763,-0.1079136690647482,0.6115107913669064,-0.12949640287769784,0.7553956834532374,-0.10071942446043165,0.3597122302158273,-0.4892086330935252,0.43884892086330934,-0.7122302158273381,0.4748201438848921,-0.8633093525179856,0.5035971223021583,-1.0,0.2158273381294964,-0.5323741007194245,0.18705035971223022,-0.49640287769784175,0.17266187050359713,-0.302158273381295,0.20863309352517986,-0.28776978417266186,0.07194244604316546,-0.5251798561151079,0.03597122302158273,-0.460431654676259,0.05755395683453238,-0.28776978417266186,0.10071942446043165,-0.2949640287769784,-0.07194244604316546,-0.5035971223021583,-0.09352517985611511,-0.4460431654676259,-0.06474820143884892,-0.31654676258992803,-0.03597122302158273,-0.302158273381295
L,0.0,0.0,0.19285714285714287,-0.04285714285714286,0.40714285714285714,-0.10714285714285714,0.5928571428571429,-0.1357142857142857,0.7428571428571429,-0.10714285714285714,0.35714285714285715,-0.4928571428571429,0.42857142857142855,-0.7142857142857143,0.4642857142857143,-0.8642857142857143,0.4928571428571429,-1.0,0.21428571428571427,-0.5428571428571428,0.17857142857142858,-0.4928571428571429,0.16428571428571428,-0.3,0.2,-0.29285714285714287,0.06428571428571428,-0.5357142857142857,0.02857142857142857,-0.45,0.05,-0.2857142857142857,0.1,-0.3,-0.07142857142857142,-0.5142857142857142,-0.1,-0.44285714285714284,-0.07142857142857142,-0.3142857142857143,-0.04285714285714286,-0.3
L,0.0,0.0,0.20408163265306123,-0.05442176870748299,0.3945578231292517,-0.1836734693877551,0.54421768707483,-0.2585034013605442,0.6666666666666666,-0.2653061224489796,0.25170068027210885,-0.4965986394557823,0.2857142857142857,-0.7210884353741497,0.29931972789115646,-0.8775510204081632,0.30612244897959184,-1.0,0.09523809523809523,-0.5238095238095238,0.20408163265306123,-0.42857142857142855,0.19047619047619047,-0.272108843537415,0.14965986394557823,-0.24489795918367346,-0.04081632653061224,-0.4897959183673469,0.08163265306122448,-0.3333333333333333,0.08163265306122448,-0.22448979591836735,0.047619047619047616,-0.23129251700680273,-0.1564625850340136,-0.4217687074829932,-0.047619047619047616,-0.2925170068027211,-0.027210884353741496,-0.20408163265306123,-0.05442176870748299,-0.2108843537414966
L,0.0,0.0,0.19727891156462585,-0.05442176870748299,0.3877551020408163,-0.1836734693877551,0.5374149659863946,-0.2585034013605442,0.6598639455782312,-0.272108843537415,0.24489795918367346,-0.4965986394557823,0.2789115646258503,-0.7210884353741497,0.29931972789115646,-0.8775510204081632,0.30612244897959184,-1.0,0.08843537414965986,-0.5238095238095238,0.19727891156462585,-0.4217687074829932,0.19047619047619047,-0.2653061224489796,0.14965986394557823,-0.24489795918367346,-0.04081632653061224,-0.48299319727891155,0.07482993197278912,-0.32653061224489793,0.07482993197278912,-0.21768707482993196,0.04081632653061224,-0.23129251700680273,-0.1564625850340136,-0.41496598639455784,-0.047619047619047616,-0.2857142857142857,-0.027210884353741496,-0.19727891156462585,-0.05442176870748299,-0.20408163265306123
L,0.0,0.0,0.19863013698630136,-0.0547945205479452,0.3904109589041096,-0.1780821917808219,0.541095890410959,-0.2602739726027397,0.6643835616438356,-0.273972602739726,0.2465753424657534,-0.4931506849315068,0.2808219178082192,-0.726027397260274,0.2945205479452055,-0.8767123287671232,0.3013698630136986,-1.0,0.08904109589041095,-0.5273972602739726,0.19863013698630136,-0.4246575342465753,0.1917808219178082,-0.2671232876712329,0.14383561643835616,-0.23972602739726026,-0.0410958904109589,-0.4863013698630137,0.07534246575342465,-0.3287671232876712,0.07534246575342465,-0.21232876712328766,0.0410958904109589,-0.22602739726027396,-0.15753424657534246,-0.4178082191780822,-0.04794520547945205,-0.2808219178082192,-0.0273972602739726,-0.19863013698630136,-0.0547945205479452,-0.19863013698630136
L,0.0,0.0,0.19205298013245034,-0.0728476821192053,0.3576158940397351,-0.23841059602649006,0.48344370860927155,-0.3576158940397351,0.5960264900662252,-0.3973509933774834,0.18543046357615894,-0.5033112582781457,0.19205298013245034,-0.7284768211920529,0.17880794701986755,-0.8741721854304636,0.16556291390728478,-1.0,0.033112582781456956,-0.5165562913907285,0.1390728476821192,-0.423841059602649,0.1456953642384106,-0.2847682119205298,0.11258278145695365,-0.25165562913907286,-0.08609271523178808,-0.46357615894039733,0.039735099337748346,-0.31788079470198677,0.046357615894039736,-0.2119205298013245,0.019867549668874173,-0.2185430463576159,-0.19205298013245034,-0.3841059602649007,-0.0728476821192053,-0.26490066225165565,-0.052980132450331126,-0.18543046357615894,-0.07947019867549669,-0.18543046357615894
L,0.0,0.0,0.1895424836601307,-0.0784313725490196,0.3464052287581699,-0.24183006535947713,0.47058823529411764,-0.35294117647058826,0.5882352941176471,-0.40522875816993464,0.17647058823529413,-0.5032679738562091,0.17647058823529413,-0.7254901960784313,0.16339869281045752,-0.8758169934640523,0.1503267973856209,-1.0,0.026143790849673203,-0.5163398692810458,0.13071895424836602,-0.42483660130718953,0.13725490196078433,-0.28104575163398693,0.10457516339869281,-0.2549019607843137,-0.09803921568627451,-0.45751633986928103,0.026143790849673203,-0.3137254901960784,0.0392156862745098,-0.21568627450980393,0.006535947712418301,-0.2222222222222222,-0.19607843137254902,-0.3790849673202614,-0.08496732026143791,-0.26143790849673204,-0.058823529411764705,-0.1830065359477124,-0.08496732026143791,-0.1895424836601307
L,0.0,0.0,0.18120805369127516,-0.0738255033557047,0.33557046979865773,-0.2214765100671141,0.46308724832214765,-0.30201342281879195,0.5704697986577181,-0.3221476510067114,0.18120805369127516,-0.5100671140939598,0.18120805369127516,-0.7315436241610739,0.174496644295302,-0.8791946308724832,0.1610738255033557,-1.0,0.03355704697986577,-0.5234899328859061,0.174496644295302,-0.44966442953020136,0.18120805369127516,-0.28859060402684567,0.1342281879194631,-0.2550335570469799,-0.08053691275167785,-0.47651006711409394,0.06711409395973154,-0.348993288590604,0.0738255033557047,-0.22818791946308725,0.026845637583892617,-0.22818791946308725,-0.18120805369127516,-0.40268456375838924,-0.04697986577181208,-0.2953020134228188,-0.03355704697986577,-0.20134228187919462,-0.06711409395973154,-0.20134228187919462
L,0.0,0.0,0.18,-0.08,0.3333333333333333,-0.22,0.46,-0.30666666666666664,0.56,-0.32666666666666666,0.17333333333333334,-0.5,0.18,-0.7266666666666667,0.17333333333333334,-0.8733333333333333,0.16,-1.0,0.03333333333333333,-0.52,0.18666666666666668,-0.46,0.18666666666666668,-0.29333333333333333,0.13333333333333333,-0.25333333333333335,-0.08,-0.47333333333333333,0.08,-0.35333333333333333,0.08,-0.23333333333333334,0.03333333333333333,-0.23333333333333334,-0.17333333333333334,-0.4,-0.03333333333333333,-0.3,-0.02,-0.20666666666666667,-0.06666666666666667,-0.2
L,0.0,0.0,0.17647058823529413,-0.0915032679738562,0.30718954248366015,-0.24183006535947713,0.4117647058823529,-0.32679738562091504,0.49673202614379086,-0.37254901960784315,0.1568627450980392,-0.5163398692810458,0.16339869281045752,-0.7320261437908496,0.1568627450980392,-0.8758169934640523,0.1437908496732026,-1.0,0.026143790849673203,-0.5228758169934641,0.20915032679738563,-0.4444444444444444,0.20915032679738563,-0.30718954248366015,0.1503267973856209,-0.29411764705882354,-0.0718954248366013,-0.47058823529411764,0.12418300653594772,-0.3333333333333333,0.11764705882352941,-0.22875816993464052,0.058823529411764705,-0.24183006535947713,-0.1437908496732026,-0.38562091503267976,0.026143790849673203,-0.26143790849673204,0.026143790849673203,-0.1830065359477124,-0.026143790849673203,-0.1895424836601307
