label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
R,0.0,0.0,-0.13934426229508196,-0.09836065573770492,-0.18442622950819673,-0.2786885245901639,-0.09836065573770492,-0.42213114754098363,0.004098360655737705,-0.5163934426229508,-0.14344262295081966,-0.5204918032786885,-0.10655737704918032,-0.7172131147540983,-0.06557377049180328,-0.8524590163934426,-0.02459016393442623,-0.9672131147540983,-0.045081967213114756,-0.5204918032786885,-0.05737704918032787,-0.75,-0.06967213114754098,-0.8811475409836066,-0.06967213114754098,-1.0,0.045081967213114756,-0.4713114754098361,0.09016393442622951,-0.6434426229508197,0.028688524590163935,-0.5245901639344263,-0.01639344262295082,-0.4180327868852459,0.13114754098360656,-0.3770491803278688,0.12295081967213115,-0.46311475409836067,0.045081967213114756,-0.4098360655737705,-0.02459016393442623,-0.35655737704918034
R,0.0,0.0,-0.1346938775510204,-0.09795918367346938,-0.1836734693877551,-0.27755102040816326,-0.09387755102040816,-0.4163265306122449,0.00816326530612245,-0.5102040816326531,-0.13877551020408163,-0.5183673469387755,-0.10204081632653061,-0.7183673469387755,-0.061224489795918366,-0.8489795918367347,-0.02040816326530612,-0.963265306122449,-0.044897959183673466,-0.5183673469387755,-0.053061224489795916,-0.746938775510204,-0.06938775510204082,-0.8816326530612245,-0.06938775510204082,-1.0,0.04897959183673469,-0.46938775510204084,0.08979591836734693,-0.6408163265306123,0.0326530612244898,-0.5224489795918368,-0.012244897959183673,-0.4163265306122449,0.1346938775510204,-0.3795918367346939,0.12653061224489795,-0.46530612244897956,0.04897959183673469,-0.40816326530612246,-0.02040816326530612,-0.3551020408163265
R,0.0,0.0,-0.13877551020408163,-0.09795918367346938,-0.1836734693877551,-0.27755102040816326,-0.09387755102040816,-0.4163265306122449,0.004081632653061225,-0.5102040816326531,-0.14285714285714285,-0.5224489795918368,-0.10612244897959183,-0.7183673469387755,-0.061224489795918366,-0.8489795918367347,-0.02040816326530612,-0.963265306122449,-0.044897959183673466,-0.5224489795918368,-0.05714285714285714,-0.7510204081632653,-0.06938775510204082,-0.8816326530612245,-0.06938775510204082,-1.0,0.04897959183673469,-0.46938775510204084,0.08979591836734693,-0.6408163265306123,0.02857142857142857,-0.5224489795918368,-0.012244897959183673,-0.4163265306122449,0.1306122448979592,-0.3795918367346939,0.12653061224489795,-0.46122448979591835,0.04897959183673469,-0.4122448979591837,-0.02040816326530612,-0.35918367346938773
R,0.0,0.0,-0.13821138211382114,-0.1016260162601626,-0.18292682926829268,-0.2804878048780488,-0.0975609756097561,-0.4186991869918699,0.0040650406504065045,-0.5121951219512195,-0.14227642276422764,-0.524390243902439,-0.10569105691056911,-0.7195121951219512,-0.06504065040650407,-0.8495934959349594,-0.024390243902439025,-0.9634146341463414,-0.044715447154471545,-0.5203252032520326,-0.056910569105691054,-0.7479674796747967,-0.06910569105691057,-0.8821138211382114,-0.07317073170731707,-1.0,0.044715447154471545,-0.4715447154471545,0.08536585365853659,-0.6422764227642277,0.028455284552845527,-0.524390243902439,-0.016260162601626018,-0.4186991869918699,0.13008130081300814,-0.3780487804878049,0.12195121951219512,-0.4634146341463415,0.04065040650406504,-0.4105691056910569,-0.024390243902439025,-0.35772357723577236
R,0.0,0.0,-0.1346938775510204,-0.10204081632653061,-0.1836734693877551,-0.2816326530612245,-0.09795918367346938,-0.42448979591836733,0.004081632653061225,-0.5142857142857142,-0.14285714285714285,-0.5265306122448979,-0.10612244897959183,-0.7224489795918367,-0.0653061224489796,-0.8530612244897959,-0.024489795918367346,-0.9673469387755103,-0.044897959183673466,-0.5224489795918368,-0.053061224489795916,-0.7510204081632653,-0.0653061224489796,-0.8857142857142857,-0.06938775510204082,-1.0,0.04897959183673469,-0.47346938775510206,0.08979591836734693,-0.6448979591836734,0.024489795918367346,-0.5265306122448979,-0.02040816326530612,-0.4163265306122449,0.1346938775510204,-0.3836734693877551,0.11836734693877551,-0.46530612244897956,0.036734693877551024,-0.4122448979591837,-0.02857142857142857,-0.363265306122449
R,0.0,0.0,-0.1346938775510204,-0.09795918367346938,-0.18775510204081633,-0.2816326530612245,-0.10612244897959183,-0.42448979591836733,-0.004081632653061225,-0.5183673469387755,-0.1469387755102041,-0.5224489795918368,-0.11020408163265306,-0.7224489795918367,-0.06938775510204082,-0.8489795918367347,-0.02857142857142857,-0.963265306122449,-0.04897959183673469,-0.5224489795918368,-0.05714285714285714,-0.7510204081632653,-0.06938775510204082,-0.8816326530612245,-0.07346938775510205,-1.0,0.044897959183673466,-0.46938775510204084,0.08163265306122448,-0.6408163265306123,0.02040816326530612,-0.5224489795918368,-0.02857142857142857,-0.4122448979591837,0.12653061224489795,-0.3836734693877551,0.11020408163265306,-0.46530612244897956,0.02857142857142857,-0.4163265306122449,-0.036734693877551024,-0.363265306122449
R,0.0,0.0,-0.1346938775510204,-0.10204081632653061,-0.19183673469387755,-0.2857142857142857,-0.11428571428571428,-0.42857142857142855,-0.012244897959183673,-0.5183673469387755,-0.1469387755102041,-0.5224489795918368,-0.11020408163265306,-0.7224489795918367,-0.06938775510204082,-0.8489795918367347,-0.02857142857142857,-0.963265306122449,-0.053061224489795916,-0.5224489795918368,-0.061224489795918366,-0.7510204081632653,-0.07346938775510205,-0.8816326530612245,-0.07346938775510205,-1.0,0.04081632653061224,-0.47346938775510206,0.07755102040816327,-0.6448979591836734,0.012244897959183673,-0.5224489795918368,-0.04081632653061224,-0.4122448979591837,0.12653061224489795,-0.3877551020408163,0.10204081632653061,-0.46938775510204084,0.02040816326530612,-0.4204081632653061,-0.04897959183673469,-0.37142857142857144
R,0.0,0.0,-0.13991769547325103,-0.102880658436214,-0.1934156378600823,-0.2880658436213992,-0.12345679012345678,-0.43621399176954734,-0.02880658436213992,-0.5267489711934157,-0.1440329218106996,-0.5267489711934157,-0.10699588477366255,-0.7242798353909465,-0.06584362139917696,-0.8559670781893004,-0.0205761316872428,-0.9670781893004116,-0.053497942386831275,-0.5267489711934157,-0.05761316872427984,-0.7530864197530864,-0.06995884773662552,-0.8847736625514403,-0.06995884773662552,-1.0,0.037037037037037035,-0.4773662551440329,0.07407407407407407,-0.654320987654321,0.00411522633744856,-0.5308641975308642,-0.04938271604938271,-0.4156378600823045,0.12345679012345678,-0.3950617283950617,0.09465020576131687,-0.4732510288065844,0.00823045267489712,-0.4279835390946502,-0.06172839506172839,-0.38271604938271603
R,0.0,0.0,-0.13991769547325103,-0.10699588477366255,-0.20164609053497942,-0.2839506172839506,-0.13991769547325103,-0.4279835390946502,-0.04526748971193416,-0.51440329218107,-0.1440329218106996,-0.5267489711934157,-0.10699588477366255,-0.7242798353909465,-0.06584362139917696,-0.8518518518518519,-0.0205761316872428,-0.9629629629629629,-0.05761316872427984,-0.5267489711934157,-0.05761316872427984,-0.7489711934156379,-0.06995884773662552,-0.8847736625514403,-0.06995884773662552,-1.0,0.03292181069958848,-0.48148148148148145,0.06995884773662552,-0.6584362139917695,-0.00411522633744856,-0.5349794238683128,-0.06172839506172839,-0.41975308641975306,0.11934156378600823,-0.3950617283950617,0.08641975308641975,-0.4732510288065844,-0.00411522633744856,-0.43209876543209874,-0.07407407407407407,-0.3868312757201646
R,0.0,0.0,-0.14107883817427386,-0.1037344398340249,-0.2074688796680498,-0.2821576763485477,-0.15352697095435686,-0.42323651452282157,-0.06224066390041494,-0.4979253112033195,-0.14522821576763487,-0.5311203319502075,-0.1078838174273859,-0.7302904564315352,-0.07053941908713693,-0.8547717842323651,-0.029045643153526972,-0.9626556016597511,-0.058091286307053944,-0.5311203319502075,-0.05394190871369295,-0.7510373443983402,-0.06224066390041494,-0.8879668049792531,-0.06639004149377593,-1.0,0.03319502074688797,-0.48132780082987553,0.06639004149377593,-0.6639004149377593,-0.016597510373443983,-0.5435684647302904,-0.07468879668049792,-0.42738589211618255,0.11618257261410789,-0.3983402489626556,0.07468879668049792,-0.47717842323651455,-0.016597510373443983,-0.43568464730290457,-0.08713692946058091,-0.3900414937759336
R,0.0,0.0,-0.14583333333333334,-0.1,-0.2125,-0.2791666666666667,-0.1625,-0.4166666666666667,-0.07083333333333333,-0.4791666666666667,-0.15,-0.5333333333333333,-0.1125,-0.7291666666666666,-0.07083333333333333,-0.8541666666666666,-0.029166666666666667,-0.9625,-0.058333333333333334,-0.5333333333333333,-0.05416666666666667,-0.7541666666666667,-0.06666666666666667,-0.8875,-0.06666666666666667,-1.0,0.03333333333333333,-0.48333333333333334,0.058333333333333334,-0.6666666666666666,-0.020833333333333332,-0.5458333333333333,-0.0875,-0.42916666666666664,0.11666666666666667,-0.4,0.07083333333333333,-0.475,-0.025,-0.4375,-0.1,-0.3958333333333333
