label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
R,0.0,0.0,0.1565217391304348,0.017391304347826087,0.2565217391304348,-0.043478260869565216,0.14782608695652175,-0.10434782608695652,-0.004347826086956522,-0.17391304347826086,0.22608695652173913,-0.36086956521739133,0.1782608695652174,-0.5521739130434783,0.11304347826086956,-0.6739130434782609,0.043478260869565216,-0.8,0.10434782608695652,-0.41739130434782606,0.12608695652173912,-0.6652173913043479,0.11304347826086956,-0.8478260869565217,0.1,-1.0,-0.008695652173913044,-0.4043478260869565,-0.0782608695652174,-0.5173913043478261,-0.08260869565217391,-0.3347826086956522,-0.05652173913043478,-0.1956521739130435,-0.12173913043478261,-0.34347826086956523,-0.19130434782608696,-0.40869565217391307,-0.16521739130434782,-0.28695652173913044,-0.11304347826086956,-0.1826086956521739
R,0.0,0.0,0.15789473684210525,0.017543859649122806,0.2543859649122807,-0.039473684210526314,0.15350877192982457,-0.10087719298245613,0.0,-0.17105263157894737,0.2324561403508772,-0.35964912280701755,0.18859649122807018,-0.5526315789473685,0.12280701754385964,-0.6754385964912281,0.05701754385964912,-0.8026315789473685,0.10964912280701754,-0.41228070175438597,0.13596491228070176,-0.6666666666666666,0.12280701754385964,-0.8464912280701754,0.11403508771929824,-1.0,-0.0043859649122807015,-0.40350877192982454,-0.07017543859649122,-0.5219298245614035,-0.07894736842105263,-0.33771929824561403,-0.04824561403508772,-0.19736842105263158,-0.11842105263157894,-0.34649122807017546,-0.18421052631578946,-0.41228070175438597,-0.16228070175438597,-0.2850877192982456,-0.10964912280701754,-0.17982456140350878
R,0.0,0.0,0.1592920353982301,0.017699115044247787,0.2610619469026549,-0.035398230088495575,0.16371681415929204,-0.09734513274336283,0.017699115044247787,-0.17256637168141592,0.24778761061946902,-0.36283185840707965,0.2079646017699115,-0.5575221238938053,0.14601769911504425,-0.6814159292035398,0.084070796460177,-0.8097345132743363,0.12389380530973451,-0.415929203539823,0.15486725663716813,-0.668141592920354,0.1504424778761062,-0.8495575221238938,0.1415929203539823,-1.0,0.01327433628318584,-0.40707964601769914,-0.048672566371681415,-0.5221238938053098,-0.05752212389380531,-0.336283185840708,-0.035398230088495575,-0.19469026548672566,-0.10619469026548672,-0.35398230088495575,-0.168141592920354,-0.42035398230088494,-0.1504424778761062,-0.2920353982300885,-0.10176991150442478,-0.18584070796460178
R,0.0,0.0,0.15879828326180256,0.008583690987124463,0.2446351931330472,-0.055793991416309016,0.12875536480686695,-0.10300429184549356,-0.02575107296137339,-0.1630901287553648,0.18454935622317598,-0.37339055793991416,0.12446351931330472,-0.5536480686695279,0.05150214592274678,-0.6695278969957081,-0.02575107296137339,-0.7896995708154506,0.060085836909871244,-0.41630901287553645,0.060085836909871244,-0.6695278969957081,0.030042918454935622,-0.8497854077253219,0.004291845493562232,-1.0,-0.04721030042918455,-0.39914163090128757,-0.13304721030042918,-0.5021459227467812,-0.12446351931330472,-0.3218884120171674,-0.0815450643776824,-0.18454935622317598,-0.15450643776824036,-0.33047210300429186,-0.22746781115879827,-0.38197424892703863,-0.2017167381974249,-0.2575107296137339,-0.13733905579399142,-0.15450643776824036
R,0.0,0.0,0.16521739130434782,-0.008695652173913044,0.25217391304347825,-0.0782608695652174,0.14347826086956522,-0.10869565217391304,-0.02608695652173913,-0.1391304347826087,0.13478260869565217,-0.391304347826087,0.0391304347826087,-0.5652173913043478,-0.05652173913043478,-0.6652173913043479,-0.1565217391304348,-0.7695652173913043,-0.004347826086956522,-0.41304347826086957,-0.05217391304347826,-0.6739130434782609,-0.11739130434782609,-0.8565217391304348,-0.16956521739130434,-1.0,-0.10869565217391304,-0.3739130434782609,-0.2,-0.4652173913043478,-0.16521739130434782,-0.2782608695652174,-0.10869565217391304,-0.1391304347826087,-0.20869565217391303,-0.28695652173913044,-0.2826086956521739,-0.3347826086956522,-0.2391304347826087,-0.21739130434782608,-0.16521739130434782,-0.12173913043478261
R,0.0,0.0,0.1630901287553648,0.0,0.22746781115879827,-0.07296137339055794,0.0815450643776824,-0.1072961373390558,-0.09871244635193133,-0.1459227467811159,0.12017167381974249,-0.3905579399141631,0.02145922746781116,-0.5665236051502146,-0.07296137339055794,-0.6738197424892703,-0.1759656652360515,-0.7854077253218884,-0.017167381974248927,-0.4206008583690987,-0.060085836909871244,-0.6738197424892703,-0.11587982832618025,-0.8497854077253219,-0.16738197424892703,-1.0,-0.12875536480686695,-0.3905579399141631,-0.2446351931330472,-0.4892703862660944,-0.21030042918454936,-0.30042918454935624,-0.15021459227467812,-0.16738197424892703,-0.22746781115879827,-0.3090128755364807,-0.3218884120171674,-0.351931330472103,-0.27467811158798283,-0.23605150214592274,-0.19742489270386265,-0.1459227467811159
R,0.0,0.0,0.15492957746478872,0.03286384976525822,0.20657276995305165,-0.004694835680751174,0.046948356807511735,-0.009389671361502348,-0.1267605633802817,-0.023474178403755867,0.15492957746478872,-0.3427230046948357,0.051643192488262914,-0.5164319248826291,-0.051643192488262914,-0.6291079812206573,-0.1596244131455399,-0.7464788732394366,0.0,-0.39906103286384975,-0.03286384976525822,-0.6619718309859155,-0.0892018779342723,-0.8450704225352113,-0.14084507042253522,-1.0,-0.13145539906103287,-0.38497652582159625,-0.24882629107981222,-0.4507042253521127,-0.2300469483568075,-0.22065727699530516,-0.1784037558685446,-0.06103286384976526,-0.2535211267605634,-0.3192488262910798,-0.352112676056338,-0.3380281690140845,-0.3192488262910798,-0.1784037558685446,-0.2535211267605634,-0.06103286384976526
R,0.0,0.0,0.15918367346938775,-0.004081632653061225,0.23673469387755103,-0.07346938775510205,0.11020408163265306,-0.12244897959183673,-0.04897959183673469,-0.17959183673469387,0.17551020408163265,-0.3836734693877551,0.11428571428571428,-0.563265306122449,0.04081632653061224,-0.6775510204081633,-0.036734693877551024,-0.7959183673469388,0.04897959183673469,-0.42857142857142855,0.04897959183673469,-0.6775510204081633,0.02040816326530612,-0.8530612244897959,-0.012244897959183673,-1.0,-0.05714285714285714,-0.40816326530612246,-0.1469387755102041,-0.5183673469387755,-0.13877551020408163,-0.34285714285714286,-0.10612244897959183,-0.20408163265306123,-0.15918367346938775,-0.34285714285714286,-0.24081632653061225,-0.40816326530612246,-0.21224489795918366,-0.2897959183673469,-0.1510204081632653,-0.18775510204081633
R,0.0,0.0,0.165,0.02,0.29,-0.025,0.22,-0.045,0.08,-0.045,0.28,-0.33,0.23,-0.51,0.16,-0.625,0.09,-0.755,0.13,-0.395,0.135,-0.66,0.115,-0.84,0.095,-1.0,-0.01,-0.385,-0.05,-0.44,-0.05,-0.22,-0.03,-0.07,-0.14,-0.325,-0.185,-0.32,-0.165,-0.17,-0.125,-0.065
R,0.0,0.0,0.17050691244239632,0.027649769585253458,0.2857142857142857,-0.013824884792626729,0.20276497695852536,-0.06912442396313365,0.055299539170506916,-0.1152073732718894,0.271889400921659,-0.3548387096774194,0.2350230414746544,-0.5391705069124424,0.17511520737327188,-0.6543778801843319,0.11059907834101383,-0.7788018433179723,0.14285714285714285,-0.41013824884792627,0.16589861751152074,-0.6589861751152074,0.15668202764976957,-0.8433179723502304,0.14285714285714285,-1.0,0.02304147465437788,-0.4009216589861751,-0.03686635944700461,-0.4976958525345622,-0.041474654377880185,-0.30414746543778803,-0.02304147465437788,-0.15207373271889402,-0.10138248847926268,-0.34101382488479265,-0.15207373271889402,-0.391705069124424,-0.1382488479262673,-0.25806451612903225,-0.0967741935483871,-0.14285714285714285
