label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
T,0.0,0.0,-0.2361111111111111,-0.1527777777777778,-0.2777777777777778,-0.3333333333333333,-0.3194444444444444,-0.44907407407407407,-0.39351851851851855,-0.5555555555555556,-0.05555555555555555,-0.5277777777777778,-0.1574074074074074,-0.7083333333333334,-0.2222222222222222,-0.8194444444444444,-0.26851851851851855,-0.9351851851851852,0.004629629629629629,-0.5138888888888888,-0.13425925925925927,-0.7222222222222222,-0.2222222222222222,-0.8611111111111112,-0.2777777777777778,-1.0,0.018518518518518517,-0.4583333333333333,-0.12037037037037036,-0.6805555555555556,-0.19907407407407407,-0.8194444444444444,-0.24074074074074073,-0.9629629629629629,-0.032407407407407406,-0.3888888888888889,-0.11574074074074074,-0.5694444444444444,-0.1527777777777778,-0.6944444444444444,-0.16666666666666666,-0.8240740740740741
T,0.0,0.0,-0.24074074074074073,-0.1527777777777778,-0.2824074074074074,-0.3333333333333333,-0.32407407407407407,-0.44907407407407407,-0.39351851851851855,-0.5555555555555556,-0.06018518518518518,-0.5277777777777778,-0.16203703703703703,-0.7083333333333334,-0.22685185185185186,-0.8194444444444444,-0.27314814814814814,-0.9351851851851852,0.0,-0.5138888888888888,-0.1388888888888889,-0.7222222222222222,-0.2222222222222222,-0.8611111111111112,-0.2824074074074074,-1.0,0.013888888888888888,-0.4583333333333333,-0.12037037037037036,-0.6805555555555556,-0.19907407407407407,-0.8194444444444444,-0.24537037037037038,-0.9629629629629629,-0.037037037037037035,-0.39351851851851855,-0.11574074074074074,-0.5694444444444444,-0.1574074074074074,-0.6944444444444444,-0.1712962962962963,-0.8240740740740741
T,0.0,0.0,-0.23963133640552994,-0.15668202764976957,-0.28110599078341014,-0.33640552995391704,-0.31797235023041476,-0.45161290322580644,-0.391705069124424,-0.5576036866359447,-0.055299539170506916,-0.5299539170506913,-0.15668202764976957,-0.7096774193548387,-0.22580645161290322,-0.8202764976958525,-0.271889400921659,-0.9400921658986175,0.004608294930875576,-0.5161290322580645,-0.1382488479262673,-0.7235023041474654,-0.22119815668202766,-0.8617511520737328,-0.28110599078341014,-1.0,0.013824884792626729,-0.4608294930875576,-0.11981566820276497,-0.6820276497695853,-0.19815668202764977,-0.8202764976958525,-0.24423963133640553,-0.9631336405529954,-0.03225806451612903,-0.39631336405529954,-0.1152073732718894,-0.576036866359447,-0.15207373271889402,-0.695852534562212,-0.17050691244239632,-0.8248847926267281
T,0.0,0.0,-0.23963133640552994,-0.15207373271889402,-0.28110599078341014,-0.33640552995391704,-0.31797235023041476,-0.45161290322580644,-0.391705069124424,-0.5576036866359447,-0.055299539170506916,-0.5299539170506913,-0.15668202764976957,-0.7096774193548387,-0.22580645161290322,-0.8202764976958525,-0.271889400921659,-0.9400921658986175,0.004608294930875576,-0.5161290322580645,-0.1336405529953917,-0.7235023041474654,-0.22119815668202766,-0.8617511520737328,-0.28110599078341014,-1.0,0.013824884792626729,-0.4608294930875576,-0.11981566820276497,-0.6820276497695853,-0.19815668202764977,-0.8202764976958525,-0.23963133640552994,-0.9631336405529954,-0.03225806451612903,-0.39631336405529954,-0.1152073732718894,-0.576036866359447,-0.15207373271889402,-0.695852534562212,-0.17050691244239632,-0.8248847926267281
T,0.0,0.0,-0.23853211009174313,-0.1559633027522936,-0.28440366972477066,-0.3348623853211009,-0.3211009174311927,-0.4541284403669725,-0.3944954128440367,-0.5596330275229358,-0.05963302752293578,-0.5321100917431193,-0.16055045871559634,-0.7110091743119266,-0.22477064220183487,-0.8256880733944955,-0.27522935779816515,-0.9403669724770642,0.0,-0.518348623853211,-0.13761467889908258,-0.7247706422018348,-0.22477064220183487,-0.8623853211009175,-0.2798165137614679,-1.0,0.009174311926605505,-0.463302752293578,-0.12385321100917432,-0.6834862385321101,-0.19724770642201836,-0.8211009174311926,-0.24311926605504589,-0.963302752293578,-0.03669724770642202,-0.39908256880733944,-0.11926605504587157,-0.5779816513761468,-0.1559633027522936,-0.7018348623853211,-0.1743119266055046,-0.8256880733944955
T,0.0,0.0,-0.24311926605504589,-0.1559633027522936,-0.28440366972477066,-0.3348623853211009,-0.3211009174311927,-0.4541284403669725,-0.3944954128440367,-0.5596330275229358,-0.05963302752293578,-0.5321100917431193,-0.16055045871559634,-0.7110091743119266,-0.22477064220183487,-0.8256880733944955,-0.2706422018348624,-0.9403669724770642,0.0,-0.5137614678899083,-0.13761467889908258,-0.7247706422018348,-0.22477064220183487,-0.8623853211009175,-0.2798165137614679,-1.0,0.009174311926605505,-0.463302752293578,-0.12385321100917432,-0.6834862385321101,-0.19724770642201836,-0.8211009174311926,-0.24311926605504589,-0.963302752293578,-0.03669724770642202,-0.39908256880733944,-0.11926605504587157,-0.5779816513761468,-0.1559633027522936,-0.7018348623853211,-0.1743119266055046,-0.8256880733944955
T,0.0,0.0,-0.23853211009174313,-0.1559633027522936,-0.28440366972477066,-0.3348623853211009,-0.3211009174311927,-0.4541284403669725,-0.3944954128440367,-0.5596330275229358,-0.05963302752293578,-0.5321100917431193,-0.16055045871559634,-0.7064220183486238,-0.22477064220183487,-0.8256880733944955,-0.2706422018348624,-0.9403669724770642,0.0,-0.5137614678899083,-0.13761467889908258,-0.7247706422018348,-0.22477064220183487,-0.8623853211009175,-0.2798165137614679,-1.0,0.009174311926605505,-0.463302752293578,-0.12385321100917432,-0.6834862385321101,-0.19724770642201836,-0.8211009174311926,-0.24311926605504589,-0.963302752293578,-0.03669724770642202,-0.39908256880733944,-0.11926605504587157,-0.5779816513761468,-0.1559633027522936,-0.7018348623853211,-0.1743119266055046,-0.8302752293577982
T,0.0,0.0,-0.24311926605504589,-0.1559633027522936,-0.28440366972477066,-0.3348623853211009,-0.3211009174311927,-0.4541284403669725,-0.3944954128440367,-0.5596330275229358,-0.05963302752293578,-0.5321100917431193,-0.16055045871559634,-0.7064220183486238,-0.22477064220183487,-0.8256880733944955,-0.2706422018348624,-0.9403669724770642,0.0,-0.5137614678899083,-0.13761467889908258,-0.7247706422018348,-0.22018348623853212,-0.8623853211009175,-0.2798165137614679,-1.0,0.009174311926605505,-0.463302752293578,-0.12385321100917432,-0.6788990825688074,-0.19724770642201836,-0.8211009174311926,-0.24311926605504589,-0.963302752293578,-0.03669724770642202,-0.39908256880733944,-0.11926605504587157,-0.5779816513761468,-0.1559633027522936,-0.7018348623853211,-0.1743119266055046,-0.8302752293577982
T,0.0,0.0,-0.24311926605504589,-0.1559633027522936,-0.28440366972477066,-0.3348623853211009,-0.3211009174311927,-0.4541284403669725,-0.3944954128440367,-0.5596330275229358,-0.05963302752293578,-0.5321100917431193,-0.16055045871559634,-0.7064220183486238,-0.22477064220183487,-0.8256880733944955,-0.2706422018348624,-0.944954128440367,0.0,-0.5137614678899083,-0.13761467889908258,-0.7247706422018348,-0.22018348623853212,-0.8623853211009175,-0.2798165137614679,-1.0,0.009174311926605505,-0.463302752293578,-0.12385321100917432,-0.6788990825688074,-0.19724770642201836,-0.8211009174311926,-0.24311926605504589,-0.963302752293578,-0.03211009174311927,-0.39908256880733944,-0.11467889908256881,-0.5779816513761468,-0.1559633027522936,-0.7018348623853211,-0.1743119266055046,-0.8302752293577982
T,0.0,0.0,-0.24311926605504589,-0.15137614678899083,-0.28440366972477066,-0.3348623853211009,-0.3211009174311927,-0.4541284403669725,-0.3944954128440367,-0.555045871559633,-0.05963302752293578,-0.5275229357798165,-0.16055045871559634,-0.7064220183486238,-0.22477064220183487,-0.8256880733944955,-0.26605504587155965,-0.944954128440367,0.0,-0.5137614678899083,-0.13761467889908258,-0.7247706422018348,-0.22018348623853212,-0.8623853211009175,-0.2798165137614679,-1.0,0.009174311926605505,-0.463302752293578,-0.11926605504587157,-0.6788990825688074,-0.19724770642201836,-0.8211009174311926,-0.24311926605504589,-0.963302752293578,-0.03211009174311927,-0.39908256880733944,-0.11467889908256881,-0.5825688073394495,-0.1559633027522936,-0.7018348623853211,-0.16972477064220184,-0.8302752293577982
