label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
U,0.0,0.0,-0.14741035856573706,-0.06374501992031872,-0.24302788844621515,-0.20717131474103587,-0.1394422310756972,-0.2948207171314741,-0.00398406374501992,-0.32270916334661354,-0.18725099601593626,-0.4860557768924303,-0.199203187250996,-0.6852589641434262,-0.199203187250996,-0.8127490039840638,-0.19123505976095617,-0.9282868525896414,-0.06772908366533864,-0.49800796812749004,-0.09163346613545817,-0.7290836653386454,-0.10358565737051793,-0.8685258964143426,-0.11155378486055777,-1.0,0.05179282868525897,-0.4541832669322709,0.05179282868525897,-0.5896414342629482,0.027888446215139442,-0.42231075697211157,0.00796812749003984,-0.30677290836653387,0.1593625498007968,-0.3705179282868526,0.14342629482071714,-0.450199203187251,0.10756972111553785,-0.3386454183266932,0.08764940239043825,-0.250996015936255
U,0.0,0.0,-0.15079365079365079,-0.06349206349206349,-0.24603174603174602,-0.20634920634920634,-0.14682539682539683,-0.29365079365079366,-0.007936507936507936,-0.32142857142857145,-0.19047619047619047,-0.48412698412698413,-0.20634920634920634,-0.6825396825396826,-0.20634920634920634,-0.8095238095238095,-0.20238095238095238,-0.9246031746031746,-0.07142857142857142,-0.49603174603174605,-0.10317460317460317,-0.7261904761904762,-0.11507936507936507,-0.8650793650793651,-0.12301587301587301,-1.0,0.04365079365079365,-0.4523809523809524,0.04365079365079365,-0.5873015873015873,0.01984126984126984,-0.4246031746031746,0.003968253968253968,-0.3055555555555556,0.15476190476190477,-0.373015873015873,0.1349206349206349,-0.4523809523809524,0.10317460317460317,-0.3412698412698413,0.08333333333333333,-0.25396825396825395
U,0.0,0.0,-0.15079365079365079,-0.06746031746031746,-0.24603174603174602,-0.21031746031746032,-0.15079365079365079,-0.29365079365079366,-0.011904761904761904,-0.31746031746031744,-0.19444444444444445,-0.4880952380952381,-0.21031746031746032,-0.6865079365079365,-0.21031746031746032,-0.8095238095238095,-0.20634920634920634,-0.9246031746031746,-0.07539682539682539,-0.49603174603174605,-0.10317460317460317,-0.7261904761904762,-0.11904761904761904,-0.8650793650793651,-0.12698412698412698,-1.0,0.03968253968253968,-0.4523809523809524,0.04365079365079365,-0.5873015873015873,0.01984126984126984,-0.4246031746031746,0.003968253968253968,-0.30952380952380953,0.15079365079365079,-0.36904761904761907,0.13095238095238096,-0.4523809523809524,0.0992063492063492,-0.3412698412698413,0.08333333333333333,-0.25793650793650796
U,0.0,0.0,-0.1532258064516129,-0.06451612903225806,-0.25806451612903225,-0.2056451612903226,-0.16532258064516128,-0.29435483870967744,-0.028225806451612902,-0.31451612903225806,-0.20161290322580644,-0.4838709677419355,-0.22580645161290322,-0.6854838709677419,-0.22983870967741934,-0.8104838709677419,-0.22580645161290322,-0.9233870967741935,-0.0846774193548387,-0.4959677419354839,-0.11693548387096774,-0.7258064516129032,-0.13709677419354838,-0.8669354838709677,-0.14516129032258066,-1.0,0.03225806451612903,-0.45161290322580644,0.03225806451612903,-0.5887096774193549,0.008064516129032258,-0.4274193548387097,-0.008064516129032258,-0.3064516129032258,0.14112903225806453,-0.3709677419354839,0.12096774193548387,-0.45161290322580644,0.08870967741935484,-0.34274193548387094,0.07258064516129033,-0.25806451612903225
U,0.0,0.0,-0.14919354838709678,-0.06048387096774194,-0.2540322580645161,-0.20161290322580644,-0.1693548387096774,-0.2903225806451613,-0.036290322580645164,-0.31451612903225806,-0.20161290322580644,-0.4798387096774194,-0.22580645161290322,-0.6774193548387096,-0.22983870967741934,-0.8064516129032258,-0.22983870967741934,-0.9153225806451613,-0.0846774193548387,-0.4959677419354839,-0.12096774193548387,-0.7258064516129032,-0.13709677419354838,-0.8669354838709677,-0.14919354838709678,-1.0,0.03225806451612903,-0.45161290322580644,0.028225806451612902,-0.5846774193548387,0.008064516129032258,-0.42338709677419356,-0.008064516129032258,-0.3064516129032258,0.14112903225806453,-0.36693548387096775,0.11693548387096774,-0.4475806451612903,0.0846774193548387,-0.3387096774193548,0.06854838709677419,-0.2540322580645161
U,0.0,0.0,-0.15079365079365079,-0.05952380952380952,-0.25793650793650796,-0.1984126984126984,-0.18253968253968253,-0.2857142857142857,-0.05555555555555555,-0.31746031746031744,-0.20634920634920634,-0.4801587301587302,-0.23015873015873015,-0.6746031746031746,-0.23412698412698413,-0.8015873015873016,-0.23015873015873015,-0.9126984126984127,-0.09126984126984126,-0.49603174603174605,-0.12698412698412698,-0.7261904761904762,-0.14682539682539683,-0.8650793650793651,-0.15476190476190477,-1.0,0.027777777777777776,-0.4523809523809524,0.015873015873015872,-0.5833333333333334,-0.011904761904761904,-0.42063492063492064,-0.027777777777777776,-0.3055555555555556,0.1349206349206349,-0.36904761904761907,0.10317460317460317,-0.44841269841269843,0.06746031746031746,-0.3373015873015873,0.051587301587301584,-0.25
U,0.0,0.0,-0.15294117647058825,-0.058823529411764705,-0.2627450980392157,-0.19215686274509805,-0.2,-0.2823529411764706,-0.07450980392156863,-0.3176470588235294,-0.20392156862745098,-0.4823529411764706,-0.22745098039215686,-0.6745098039215687,-0.23137254901960785,-0.8,-0.22745098039215686,-0.9137254901960784,-0.09411764705882353,-0.49411764705882355,-0.12941176470588237,-0.7294117647058823,-0.14901960784313725,-0.8666666666666667,-0.15294117647058825,-1.0,0.023529411764705882,-0.45098039215686275,0.00784313725490196,-0.5803921568627451,-0.027450980392156862,-0.41568627450980394,-0.047058823529411764,-0.2980392156862745,0.13333333333333333,-0.36470588235294116,0.09411764705882353,-0.44313725490196076,0.050980392156862744,-0.32941176470588235,0.03529411764705882,-0.24313725490196078
U,0.0,0.0,-0.1556420233463035,-0.058365758754863814,-0.26459143968871596,-0.19066147859922178,-0.19844357976653695,-0.2840466926070039,-0.07782101167315175,-0.31906614785992216,-0.20622568093385213,-0.48249027237354086,-0.22568093385214008,-0.6731517509727627,-0.22568093385214008,-0.7976653696498055,-0.22178988326848248,-0.914396887159533,-0.0933852140077821,-0.49416342412451364,-0.12840466926070038,-0.7276264591439688,-0.14785992217898833,-0.867704280155642,-0.1517509727626459,-1.0,0.023346303501945526,-0.45136186770428016,0.007782101167315175,-0.5797665369649806,-0.0311284046692607,-0.4163424124513619,-0.05058365758754864,-0.29571984435797666,0.13229571984435798,-0.3657587548638132,0.08949416342412451,-0.4474708171206226,0.04669260700389105,-0.3346303501945525,0.027237354085603113,-0.245136186770428
U,0.0,0.0,-0.1511627906976744,-0.05813953488372093,-0.2596899224806202,-0.1937984496124031,-0.1937984496124031,-0.2868217054263566,-0.06976744186046512,-0.32170542635658916,-0.20155038759689922,-0.4844961240310077,-0.22093023255813954,-0.6782945736434108,-0.22093023255813954,-0.7984496124031008,-0.2131782945736434,-0.9147286821705426,-0.08914728682170543,-0.49612403100775193,-0.12403100775193798,-0.7286821705426356,-0.13953488372093023,-0.8682170542635659,-0.1434108527131783,-1.0,0.027131782945736434,-0.45348837209302323,0.011627906976744186,-0.5813953488372093,-0.027131782945736434,-0.4186046511627907,-0.046511627906976744,-0.29844961240310075,0.13565891472868216,-0.3682170542635659,0.09302325581395349,-0.44573643410852715,0.050387596899224806,-0.3333333333333333,0.031007751937984496,-0.24806201550387597
U,0.0,0.0,-0.1532567049808429,-0.05747126436781609,-0.26053639846743293,-0.19157088122605365,-0.18773946360153257,-0.2835249042145594,-0.06513409961685823,-0.31800766283524906,-0.20306513409961685,-0.4827586206896552,-0.21839080459770116,-0.6781609195402298,-0.2222222222222222,-0.8007662835249042,-0.21455938697318008,-0.9157088122605364,-0.08812260536398467,-0.4942528735632184,-0.12643678160919541,-0.7279693486590039,-0.1417624521072797,-0.8659003831417624,-0.1417624521072797,-1.0,0.02681992337164751,-0.4521072796934866,0.01532567049808429,-0.578544061302682,-0.022988505747126436,-0.41379310344827586,-0.04597701149425287,-0.2950191570881226,0.13409961685823754,-0.367816091954023,0.09195402298850575,-0.44061302681992337,0.04980842911877394,-0.32567049808429116,0.03065134099616858,-0.2413793103448276
U,0.0,0.0,-0.1482889733840304,-0.057034220532319393,-0.25475285171102663,-0.19011406844106463,-0.18250950570342206,-0.27756653992395436,-0.057034220532319393,-0.311787072243346,-0.19771863117870722,-0.4828897338403042,-0.21673003802281368,-0.6730038022813688,-0.21673003802281368,-0.7984790874524715,-0.20912547528517111,-0.9125475285171103,-0.08365019011406843,-0.49049429657794674,-0.12167300380228137,-0.7262357414448669,-0.13307984790874525,-0.8669201520912547,-0.13688212927756654,-1.0,0.030418250950570342,-0.44866920152091255,0.022813688212927757,-0.5741444866920152,-0.015209125475285171,-0.41064638783269963,-0.03802281368821293,-0.29277566539923955,0.13688212927756654,-0.3650190114068441,0.09505703422053231,-0.43346007604562736,0.057034220532319393,-0.3193916349809886,0.034220532319391636,-0.23193916349809887
U,0.0,0.0,-0.1482889733840304,-0.057034220532319393,-0.25475285171102663,-0.19011406844106463,-0.18250950570342206,-0.2813688212927757,-0.053231939163498096,-0.3155893536121673,-0.19771863117870722,-0.4828897338403042,-0.21292775665399238,-0.6768060836501901,-0.21292775665399238,-0.8022813688212928,-0.20532319391634982,-0.9163498098859315,-0.08365019011406843,-0.49429657794676807,-0.11787072243346007,-0.7262357414448669,-0.13307984790874525,-0.8669201520912547,-0.13307984790874525,-1.0,0.034220532319391636,-0.44866920152091255,0.022813688212927757,-0.5779467680608364,-0.015209125475285171,-0.41064638783269963,-0.03802281368821293,-0.29277566539923955,0.14068441064638784,-0.3650190114068441,0.09885931558935361,-0.4372623574144487,0.057034220532319393,-0.3231939163498099,0.03802281368821293,-0.23574144486692014
U,0.0,0.0,-0.14885496183206107,-0.05725190839694656,-0.25190839694656486,-0.1946564885496183,-0.17938931297709923,-0.2824427480916031,-0.04961832061068702,-0.31679389312977096,-0.1946564885496183,-0.4847328244274809,-0.2099236641221374,-0.6793893129770993,-0.2099236641221374,-0.8053435114503816,-0.20229007633587787,-0.9198473282442748,-0.07633587786259542,-0.4961832061068702,-0.11450381679389313,-0.7290076335877863,-0.12595419847328243,-0.8702290076335878,-0.1297709923664122,-1.0,0.03816793893129771,-0.45038167938931295,0.026717557251908396,-0.5801526717557252,-0.011450381679389313,-0.41603053435114506,-0.030534351145038167,-0.29770992366412213,0.14122137404580154,-0.3702290076335878,0.10305343511450382,-0.44274809160305345,0.061068702290076333,-0.3244274809160305,0.04198473282442748,-0.2366412213740458
U,0.0,0.0,-0.14942528735632185,-0.05747126436781609,-0.25287356321839083,-0.19157088122605365,-0.18007662835249041,-0.2835249042145594,-0.04980842911877394,-0.31800766283524906,-0.19157088122605365,-0.4827586206896552,-0.20689655172413793,-0.6781609195402298,-0.20689655172413793,-0.8045977011494253,-0.19923371647509577,-0.9195402298850575,-0.07662835249042145,-0.4942528735632184,-0.1111111111111111,-0.7279693486590039,-0.12643678160919541,-0.8659003831417624,-0.12643678160919541,-1.0,0.038314176245210725,-0.4482758620689655,0.02681992337164751,-0.578544061302682,-0.011494252873563218,-0.41762452107279696,-0.03065134099616858,-0.2950191570881226,0.1417624521072797,-0.36398467432950193,0.10344827586206896,-0.44061302681992337,0.06130268199233716,-0.32567049808429116,0.0421455938697318,-0.23754789272030652
U,0.0,0.0,-0.14615384615384616,-0.057692307692307696,-0.25384615384615383,-0.19230769230769232,-0.17692307692307693,-0.2846153846153846,-0.05,-0.3153846153846154,-0.19230769230769232,-0.4807692307692308,-0.2076923076923077,-0.676923076923077,-0.2076923076923077,-0.8038461538461539,-0.2,-0.9192307692307692,-0.07692307692307693,-0.49230769230769234,-0.11153846153846154,-0.7269230769230769,-0.12692307692307692,-0.8692307692307693,-0.12692307692307692,-1.0,0.038461538461538464,-0.45,0.026923076923076925,-0.5807692307692308,-0.007692307692307693,-0.4153846153846154,-0.03076923076923077,-0.29615384615384616,0.1423076923076923,-0.36538461538461536,0.10384615384615385,-0.4423076923076923,0.06153846153846154,-0.3269230769230769,0.04230769230769231,-0.23846153846153847
U,0.0,0.0,-0.15,-0.057692307692307696,-0.25384615384615383,-0.19230769230769232,-0.18076923076923077,-0.2846153846153846,-0.05384615384615385,-0.3192307692307692,-0.19230769230769232,-0.4846153846153846,-0.21153846153846154,-0.676923076923077,-0.2076923076923077,-0.8038461538461539,-0.2,-0.9192307692307692,-0.08076923076923077,-0.49230769230769234,-0.11538461538461539,-0.7269230769230769,-0.13076923076923078,-0.8692307692307693,-0.13076923076923078,-1.0,0.03461538461538462,-0.45,0.023076923076923078,-0.5769230769230769,-0.011538461538461539,-0.4153846153846154,-0.03461538461538462,-0.29615384615384616,0.13846153846153847,-0.36923076923076925,0.1,-0.4423076923076923,0.06153846153846154,-0.3269230769230769,0.04230769230769231,-0.2423076923076923
