label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
V,0.0,0.0,0.1323529411764706,-0.06862745098039216,0.20588235294117646,-0.20098039215686275,0.09313725490196079,-0.2696078431372549,-0.05392156862745098,-0.30392156862745096,0.1323529411764706,-0.4950980392156863,0.20098039215686275,-0.6862745098039216,0.24019607843137256,-0.8137254901960784,0.25980392156862747,-0.9313725490196079,-0.00980392156862745,-0.5049019607843137,-0.06372549019607843,-0.7352941176470589,-0.10784313725490197,-0.8725490196078431,-0.15196078431372548,-1.0,-0.12254901960784313,-0.45098039215686275,-0.14705882352941177,-0.5735294117647058,-0.10784313725490197,-0.4166666666666667,-0.09313725490196079,-0.29411764705882354,-0.22058823529411764,-0.35294117647058826,-0.25,-0.45588235294117646,-0.20588235294117646,-0.35784313725490197,-0.16666666666666666,-0.2647058823529412
V,0.0,0.0,0.13043478260869565,-0.07729468599033816,0.18840579710144928,-0.21256038647342995,0.06763285024154589,-0.28019323671497587,-0.08695652173913043,-0.30434782608695654,0.11594202898550725,-0.4975845410628019,0.18840579710144928,-0.6908212560386473,0.2222222222222222,-0.8115942028985508,0.2463768115942029,-0.927536231884058,-0.024154589371980676,-0.5072463768115942,-0.0821256038647343,-0.7342995169082126,-0.13043478260869565,-0.8743961352657005,-0.17391304347826086,-1.0,-0.14009661835748793,-0.45410628019323673,-0.16908212560386474,-0.5797101449275363,-0.13526570048309178,-0.4251207729468599,-0.12077294685990338,-0.30434782608695654,-0.23671497584541062,-0.357487922705314,-0.2753623188405797,-0.45410628019323673,-0.22705314009661837,-0.357487922705314,-0.1932367149758454,-0.27053140096618356
V,0.0,0.0,0.17592592592592593,-0.046296296296296294,0.2916666666666667,-0.1712962962962963,0.2361111111111111,-0.27314814814814814,0.10648148148148148,-0.3287037037037037,0.25,-0.47685185185185186,0.33796296296296297,-0.6574074074074074,0.3888888888888889,-0.7638888888888888,0.4212962962962963,-0.8703703703703703,0.1111111111111111,-0.5046296296296297,0.09722222222222222,-0.7314814814814815,0.07407407407407407,-0.875,0.05092592592592592,-1.0,-0.004629629629629629,-0.46296296296296297,0.004629629629629629,-0.5972222222222222,0.037037037037037035,-0.4351851851851852,0.05092592592592592,-0.3148148148148148,-0.11574074074074074,-0.375,-0.09722222222222222,-0.4861111111111111,-0.05555555555555555,-0.39351851851851855,-0.027777777777777776,-0.2962962962962963
V,0.0,0.0,0.1320754716981132,-0.08962264150943396,0.1509433962264151,-0.2169811320754717,-0.009433962264150943,-0.25,-0.17452830188679244,-0.25943396226415094,0.0330188679245283,-0.5235849056603774,0.02830188679245283,-0.7452830188679245,0.02358490566037736,-0.8773584905660378,0.0047169811320754715,-1.0,-0.12264150943396226,-0.5047169811320755,-0.25,-0.7169811320754716,-0.35377358490566035,-0.8443396226415094,-0.4481132075471698,-0.9669811320754716,-0.22641509433962265,-0.42924528301886794,-0.3443396226415094,-0.5141509433962265,-0.2688679245283019,-0.3490566037735849,-0.19811320754716982,-0.2358490566037736,-0.29245283018867924,-0.3160377358490566,-0.3867924528301887,-0.3490566037735849,-0.32075471698113206,-0.25,-0.2358490566037736,-0.1792452830188679
V,0.0,0.0,0.13145539906103287,-0.09389671361502347,0.14553990610328638,-0.22065727699530516,-0.018779342723004695,-0.26291079812206575,-0.18309859154929578,-0.27230046948356806,0.03755868544600939,-0.5211267605633803,0.04225352112676056,-0.7464788732394366,0.046948356807511735,-0.8779342723004695,0.04225352112676056,-1.0,-0.12206572769953052,-0.5070422535211268,-0.23943661971830985,-0.7276995305164319,-0.3380281690140845,-0.8544600938967136,-0.4225352112676056,-0.9765258215962441,-0.22065727699530516,-0.431924882629108,-0.3380281690140845,-0.5258215962441315,-0.2676056338028169,-0.36619718309859156,-0.20187793427230047,-0.2535211267605634,-0.29107981220657275,-0.3145539906103286,-0.38967136150234744,-0.36619718309859156,-0.3286384976525822,-0.27230046948356806,-0.24882629107981222,-0.19718309859154928
V,0.0,0.0,0.14622641509433962,-0.08490566037735849,0.16981132075471697,-0.21226415094339623,0.009433962264150943,-0.25943396226415094,-0.15566037735849056,-0.2830188679245283,0.07075471698113207,-0.5141509433962265,0.09905660377358491,-0.7358490566037735,0.1179245283018868,-0.8679245283018868,0.1179245283018868,-0.9952830188679245,-0.08490566037735849,-0.5141509433962265,-0.19339622641509435,-0.7358490566037735,-0.2830188679245283,-0.8726415094339622,-0.3584905660377358,-1.0,-0.19339622641509435,-0.44339622641509435,-0.2971698113207547,-0.5471698113207547,-0.2358490566037736,-0.38207547169811323,-0.1792452830188679,-0.2641509433962264,-0.2688679245283019,-0.33490566037735847,-0.3584905660377358,-0.3915094339622642,-0.30660377358490565,-0.28773584905660377,-0.2358490566037736,-0.20754716981132076
V,0.0,0.0,0.14418604651162792,-0.08372093023255814,0.17209302325581396,-0.22790697674418606,0.009302325581395349,-0.2930232558139535,-0.15348837209302327,-0.3209302325581395,0.09767441860465116,-0.5162790697674419,0.13953488372093023,-0.7255813953488373,0.16744186046511628,-0.8511627906976744,0.18604651162790697,-0.9674418604651163,-0.06046511627906977,-0.5209302325581395,-0.14883720930232558,-0.7488372093023256,-0.21395348837209302,-0.8837209302325582,-0.2744186046511628,-1.0,-0.16744186046511628,-0.4558139534883721,-0.25116279069767444,-0.5813953488372093,-0.20465116279069767,-0.42790697674418604,-0.16279069767441862,-0.30697674418604654,-0.25116279069767444,-0.3488372093023256,-0.3302325581395349,-0.4372093023255814,-0.28837209302325584,-0.3488372093023256,-0.22790697674418606,-0.2651162790697674
V,0.0,0.0,0.165,-0.06,0.255,-0.19,0.175,-0.285,0.035,-0.33,0.18,-0.51,0.225,-0.71,0.25,-0.83,0.265,-0.94,0.04,-0.515,-0.01,-0.735,-0.06,-0.88,-0.1,-1.0,-0.065,-0.455,-0.105,-0.585,-0.05,-0.43,-0.01,-0.315,-0.155,-0.355,-0.175,-0.455,-0.125,-0.36,-0.075,-0.27
V,0.0,0.0,0.1625615763546798,-0.06896551724137931,0.23645320197044334,-0.21182266009852216,0.14285714285714285,-0.30049261083743845,0.0,-0.3448275862068966,0.16748768472906403,-0.5123152709359606,0.21182266009852216,-0.7093596059113301,0.23645320197044334,-0.8226600985221675,0.24630541871921183,-0.9359605911330049,0.024630541871921183,-0.5221674876847291,-0.03940886699507389,-0.7487684729064039,-0.08374384236453201,-0.8866995073891626,-0.1330049261083744,-1.0,-0.08374384236453201,-0.4630541871921182,-0.1330049261083744,-0.6009852216748769,-0.07881773399014778,-0.4482758620689655,-0.03940886699507389,-0.3251231527093596,-0.17733990147783252,-0.35960591133004927,-0.20689655172413793,-0.4630541871921182,-0.15270935960591134,-0.37438423645320196,-0.10344827586206896,-0.2857142857142857
V,0.0,0.0,0.16176470588235295,-0.058823529411764705,0.24509803921568626,-0.18627450980392157,0.14215686274509803,-0.25980392156862747,-0.00980392156862745,-0.30392156862745096,0.17647058823529413,-0.5,0.23039215686274508,-0.7058823529411765,0.2647058823529412,-0.8235294117647058,0.28431372549019607,-0.9362745098039216,0.029411764705882353,-0.5098039215686274,-0.03431372549019608,-0.7303921568627451,-0.08823529411764706,-0.8725490196078431,-0.1323529411764706,-1.0,-0.08333333333333333,-0.45098039215686275,-0.13725490196078433,-0.5686274509803921,-0.08333333333333333,-0.4019607843137255,-0.0392156862745098,-0.27941176470588236,-0.17647058823529413,-0.3431372549019608,-0.21568627450980393,-0.4166666666666667,-0.16176470588235295,-0.3137254901960784,-0.10784313725490197,-0.22058823529411764
