label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
Y,0.0,0.0,0.25925925925925924,-0.1728395061728395,0.4444444444444444,-0.41975308641975306,0.6172839506172839,-0.6172839506172839,0.7777777777777778,-0.7283950617283951,0.20987654320987653,-0.654320987654321,0.14814814814814814,-0.8641975308641975,0.16049382716049382,-0.6790123456790124,0.19753086419753085,-0.5308641975308642,0.024691358024691357,-0.6172839506172839,-0.037037037037037035,-0.8148148148148148,0.024691358024691357,-0.5925925925925926,0.09876543209876543,-0.4567901234567901,-0.12345679012345678,-0.5679012345679012,-0.18518518518518517,-0.7037037037037037,-0.08641975308641975,-0.5061728395061729,0.0,-0.38271604938271603,-0.2716049382716049,-0.5061728395061729,-0.345679012345679,-0.7283950617283951,-0.41975308641975306,-0.8641975308641975,-0.4691358024691358,-1.0
Y,0.0,0.0,0.25609756097560976,-0.14634146341463414,0.43902439024390244,-0.3780487804878049,0.6219512195121951,-0.573170731707317,0.7682926829268293,-0.6707317073170732,0.24390243902439024,-0.6463414634146342,0.17073170731707318,-0.8414634146341463,0.17073170731707318,-0.6585365853658537,0.2073170731707317,-0.5,0.06097560975609756,-0.6097560975609756,0.0,-0.8048780487804879,0.036585365853658534,-0.573170731707317,0.10975609756097561,-0.4268292682926829,-0.0975609756097561,-0.5609756097560976,-0.15853658536585366,-0.6951219512195121,-0.08536585365853659,-0.5,0.012195121951219513,-0.36585365853658536,-0.23170731707317074,-0.5121951219512195,-0.3048780487804878,-0.7195121951219512,-0.36585365853658536,-0.8658536585365854,-0.4146341463414634,-1.0
Y,0.0,0.0,0.23809523809523808,-0.11904761904761904,0.4166666666666667,-0.34523809523809523,0.5833333333333334,-0.5119047619047619,0.7261904761904762,-0.6071428571428571,0.27380952380952384,-0.6190476190476191,0.20238095238095238,-0.8214285714285714,0.16666666666666666,-0.6428571428571429,0.19047619047619047,-0.4880952380952381,0.10714285714285714,-0.5952380952380952,0.03571428571428571,-0.7857142857142857,0.047619047619047616,-0.5595238095238095,0.10714285714285714,-0.40476190476190477,-0.047619047619047616,-0.5595238095238095,-0.11904761904761904,-0.6904761904761905,-0.07142857142857142,-0.5,0.011904761904761904,-0.36904761904761907,-0.17857142857142858,-0.5119047619047619,-0.23809523809523808,-0.7261904761904762,-0.2976190476190476,-0.8690476190476191,-0.3333333333333333,-1.0
Y,0.0,0.0,0.20481927710843373,-0.12048192771084337,0.3614457831325301,-0.3253012048192771,0.5060240963855421,-0.4939759036144578,0.6506024096385542,-0.5783132530120482,0.26506024096385544,-0.6385542168674698,0.1927710843373494,-0.8313253012048193,0.14457831325301204,-0.6506024096385542,0.1566265060240964,-0.5060240963855421,0.0963855421686747,-0.6144578313253012,0.012048192771084338,-0.7951807228915663,0.012048192771084338,-0.5662650602409639,0.07228915662650602,-0.40963855421686746,-0.04819277108433735,-0.5783132530120482,-0.13253012048192772,-0.6987951807228916,-0.08433734939759036,-0.5060240963855421,0.0,-0.37349397590361444,-0.1686746987951807,-0.5421686746987951,-0.2289156626506024,-0.7590361445783133,-0.2891566265060241,-0.8795180722891566,-0.3253012048192771,-1.0
Y,0.0,0.0,0.18292682926829268,-0.08536585365853659,0.3048780487804878,-0.2682926829268293,0.4024390243902439,-0.4268292682926829,0.5365853658536586,-0.5121951219512195,0.2926829268292683,-0.6341463414634146,0.15853658536585366,-0.7926829268292683,0.0975609756097561,-0.6219512195121951,0.13414634146341464,-0.47560975609756095,0.13414634146341464,-0.6219512195121951,0.012195121951219513,-0.7682926829268293,-0.012195121951219513,-0.5365853658536586,0.036585365853658534,-0.4024390243902439,0.0,-0.5975609756097561,-0.12195121951219512,-0.7073170731707317,-0.0975609756097561,-0.5121951219512195,-0.024390243902439025,-0.3902439024390244,-0.12195121951219512,-0.573170731707317,-0.18292682926829268,-0.7804878048780488,-0.24390243902439024,-0.8902439024390244,-0.2926829268292683,-1.0
Y,0.0,0.0,0.2073170731707317,-0.10975609756097561,0.36585365853658536,-0.3048780487804878,0.5,-0.45121951219512196,0.6585365853658537,-0.5121951219512195,0.2682926829268293,-0.6341463414634146,0.17073170731707318,-0.8048780487804879,0.13414634146341464,-0.6219512195121951,0.15853658536585366,-0.47560975609756095,0.0975609756097561,-0.6219512195121951,0.012195121951219513,-0.7682926829268293,0.012195121951219513,-0.5365853658536586,0.06097560975609756,-0.3902439024390244,-0.04878048780487805,-0.5853658536585366,-0.13414634146341464,-0.6951219512195121,-0.08536585365853659,-0.5,-0.012195121951219513,-0.36585365853658536,-0.18292682926829268,-0.5487804878048781,-0.24390243902439024,-0.7560975609756098,-0.3048780487804878,-0.8780487804878049,-0.34146341463414637,-1.0
Y,0.0,0.0,0.23529411764705882,-0.1411764705882353,0.4235294117647059,-0.36470588235294116,0.6,-0.5176470588235295,0.788235294117647,-0.5764705882352941,0.21176470588235294,-0.6235294117647059,0.18823529411764706,-0.8235294117647058,0.18823529411764706,-0.6470588235294118,0.2235294117647059,-0.49411764705882355,0.047058823529411764,-0.5882352941176471,0.011764705882352941,-0.788235294117647,0.07058823529411765,-0.5647058823529412,0.11764705882352941,-0.4117647058823529,-0.11764705882352941,-0.5529411764705883,-0.1411764705882353,-0.6941176470588235,-0.058823529411764705,-0.5058823529411764,0.023529411764705882,-0.36470588235294116,-0.25882352941176473,-0.5058823529411764,-0.3176470588235294,-0.7176470588235294,-0.36470588235294116,-0.8588235294117647,-0.4,-1.0
Y,0.0,0.0,0.24096385542168675,-0.1686746987951807,0.42168674698795183,-0.42168674698795183,0.5903614457831325,-0.5903614457831325,0.7831325301204819,-0.6506024096385542,0.14457831325301204,-0.6506024096385542,0.14457831325301204,-0.8674698795180723,0.1927710843373494,-0.6746987951807228,0.2289156626506024,-0.5301204819277109,-0.012048192771084338,-0.6024096385542169,-0.012048192771084338,-0.8072289156626506,0.07228915662650602,-0.5903614457831325,0.14457831325301204,-0.43373493975903615,-0.1686746987951807,-0.5421686746987951,-0.1686746987951807,-0.6987951807228916,-0.03614457831325301,-0.5060240963855421,0.04819277108433735,-0.3614457831325301,-0.3253012048192771,-0.4819277108433735,-0.3855421686746988,-0.7108433734939759,-0.42168674698795183,-0.8554216867469879,-0.4457831325301205,-1.0
Y,0.0,0.0,0.2222222222222222,-0.19753086419753085,0.35802469135802467,-0.4691358024691358,0.5061728395061729,-0.6419753086419753,0.6666666666666666,-0.7283950617283951,0.08641975308641975,-0.691358024691358,0.12345679012345678,-0.9012345679012346,0.18518518518518517,-0.7283950617283951,0.2222222222222222,-0.5802469135802469,-0.06172839506172839,-0.6419753086419753,-0.012345679012345678,-0.8518518518518519,0.08641975308641975,-0.6419753086419753,0.14814814814814814,-0.49382716049382713,-0.19753086419753085,-0.5679012345679012,-0.14814814814814814,-0.7160493827160493,0.0,-0.5185185185185185,0.08641975308641975,-0.3950617283950617,-0.345679012345679,-0.48148148148148145,-0.41975308641975306,-0.7160493827160493,-0.41975308641975306,-0.8641975308641975,-0.41975308641975306,-1.0
Y,0.0,0.0,0.17721518987341772,-0.21518987341772153,0.27848101265822783,-0.5063291139240507,0.3670886075949367,-0.6962025316455697,0.4936708860759494,-0.8227848101265823,-0.012658227848101266,-0.7341772151898734,0.05063291139240506,-0.9493670886075949,0.1518987341772152,-0.759493670886076,0.189873417721519,-0.6455696202531646,-0.12658227848101267,-0.6708860759493671,-0.05063291139240506,-0.8734177215189873,0.0759493670886076,-0.6708860759493671,0.11392405063291139,-0.5443037974683544,-0.25316455696202533,-0.5949367088607594,-0.1518987341772152,-0.7468354430379747,0.012658227848101266,-0.5443037974683544,0.0759493670886076,-0.4177215189873418,-0.35443037974683544,-0.4936708860759494,-0.43037974683544306,-0.7215189873417721,-0.4177215189873418,-0.8607594936708861,-0.3924050632911392,-1.0
